Benchmark/0-4         	  123321	      8361 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  137205	      8180 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  140307	      8304 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  139282	      8217 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  137859	      8308 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  141406	      8224 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  139542	      8226 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  147129	      8262 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  140805	      8175 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4         	  141976	      8171 ns/op	   65672 B/op	       3 allocs/op
Benchmark/1-4         	  138109	      8755 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  138135	      8295 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  136362	      8543 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  138052	      8669 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  127815	      8697 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  137193	      8477 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  126680	      8511 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  136676	      8300 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  137940	      8552 ns/op	   65688 B/op	       4 allocs/op
Benchmark/1-4         	  138742	      8444 ns/op	   65688 B/op	       4 allocs/op
Benchmark/10-4        	  130606	      9073 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  129600	      8982 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  131614	      8837 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  130102	      8838 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  130378	      8965 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  130089	      8993 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  131604	      8993 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  132774	      8757 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  135691	      8999 ns/op	   65832 B/op	      13 allocs/op
Benchmark/10-4        	  128682	      8779 ns/op	   65832 B/op	      13 allocs/op
Benchmark/100-4       	   99423	     12515 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	   99687	     12060 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	   97653	     11839 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	   88938	     11844 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	   99831	     11977 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	  100354	     11790 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	   97999	     12822 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	  100113	     11784 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	  101278	     12085 ns/op	   67272 B/op	     103 allocs/op
Benchmark/100-4       	   98754	     13886 ns/op	   67272 B/op	     103 allocs/op
Benchmark/1000-4      	   28606	     39670 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30616	     39393 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30642	     40587 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30096	     40484 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30082	     39728 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30295	     39703 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30068	     40182 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30214	     39662 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30601	     39610 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/1000-4      	   30446	     40253 ns/op	   81672 B/op	    1003 allocs/op
Benchmark/10000-4     	    3279	    353399 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3306	    353213 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3285	    354280 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3302	    351104 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3349	    348749 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3346	    347752 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3282	    361005 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3294	    350015 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3272	    348648 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/10000-4     	    3249	    349811 ns/op	  356872 B/op	   10007 allocs/op
Benchmark/100000-4    	     338	   3539805 ns/op	 3246587 B/op	  100051 allocs/op
Benchmark/100000-4    	     330	   3547410 ns/op	 3246588 B/op	  100051 allocs/op
Benchmark/100000-4    	     339	   3595071 ns/op	 3246588 B/op	  100051 allocs/op
Benchmark/100000-4    	     336	   3530054 ns/op	 3246590 B/op	  100051 allocs/op
Benchmark/100000-4    	     337	   3552180 ns/op	 3246588 B/op	  100051 allocs/op
Benchmark/100000-4    	     340	   3523021 ns/op	 3246588 B/op	  100051 allocs/op
Benchmark/100000-4    	     326	   3547533 ns/op	 3246586 B/op	  100051 allocs/op
Benchmark/100000-4    	     343	   3548846 ns/op	 3246586 B/op	  100051 allocs/op
Benchmark/100000-4    	     340	   3517851 ns/op	 3246587 B/op	  100051 allocs/op
Benchmark/100000-4    	     342	   3550751 ns/op	 3246587 B/op	  100051 allocs/op
Benchmark/1000000-4   	      28	  40603906 ns/op	32830136 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      25	  41701168 ns/op	32830139 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      27	  42055668 ns/op	32830136 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      27	  40835689 ns/op	32830139 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      27	  42088989 ns/op	32830139 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      27	  41303724 ns/op	32830139 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      27	  41625936 ns/op	32830143 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      26	  40998156 ns/op	32830139 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      27	  45024619 ns/op	32830139 B/op	 1000491 allocs/op
Benchmark/1000000-4   	      24	  42907088 ns/op	32830140 B/op	 1000491 allocs/op
