Benchmark/0-4         	29622061	        40.48 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	26977162	        40.53 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28813047	        40.36 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28647015	        40.59 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28691390	        40.51 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28810048	        40.46 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28863596	        40.48 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28929884	        40.70 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	27862352	        40.65 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29088177	        40.39 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4         	 7479388	       162.1 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7496516	       159.6 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7436938	       159.6 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7494988	       159.2 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7492317	       159.3 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7443501	       159.3 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7455943	       159.3 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7451655	       160.7 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7357461	       161.0 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7373851	       159.7 ns/op	     160 B/op	       4 allocs/op
Benchmark/10-4        	 2155538	       549.9 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2175314	       553.6 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2169765	       556.1 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2181339	       552.3 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2169784	       550.3 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2140135	       561.9 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2160601	       549.3 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2170291	       550.2 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2181229	       551.3 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2169256	       556.1 ns/op	     432 B/op	      14 allocs/op
Benchmark/100-4       	  284323	      4121 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  276844	      4198 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  278611	      4140 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  284322	      4113 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  283537	      4133 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  281497	      4144 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  280006	      4167 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  275726	      4132 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  275407	      4149 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  283364	      4169 ns/op	    4480 B/op	     107 allocs/op
Benchmark/1000-4      	   34851	     34283 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   32992	     36489 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34563	     34426 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34914	     34622 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34800	     34410 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34041	     34982 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   35065	     34586 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   35020	     34171 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   35008	     34349 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34000	     35146 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/10000-4     	    3247	    359008 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3336	    347644 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3351	    363069 ns/op	  242528 B/op	   10083 allocs/op
