Benchmark/0-4         	27580873	        44.24 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28691145	        46.22 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29002539	        41.64 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29403235	        41.03 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28038829	        41.04 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28856211	        41.43 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29303131	        41.18 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	26233492	        40.98 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28545304	        40.72 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28389698	        41.01 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4         	 7088140	       169.6 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7092483	       170.6 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7094016	       166.7 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7135543	       167.1 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7256850	       172.3 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7142074	       168.8 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7227385	       167.1 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7187046	       166.6 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7286284	       166.3 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7277328	       166.7 ns/op	     192 B/op	       4 allocs/op
Benchmark/10-4        	 2070546	       581.5 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2081602	       579.3 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2058462	       576.3 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2064133	       583.5 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2080392	       579.4 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2076693	       594.4 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2037278	       576.7 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2064952	       578.7 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2085291	       578.2 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2072396	       578.1 ns/op	     592 B/op	      14 allocs/op
Benchmark/100-4       	  261627	      4633 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  259650	      4637 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  256596	      4677 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  258967	      4693 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  259498	      4688 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  259024	      4633 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  244383	      4602 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  257472	      4949 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  253633	      4660 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  263078	      4622 ns/op	    7200 B/op	     107 allocs/op
Benchmark/1000-4      	   32548	     36886 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32562	     36702 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32876	     36646 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32943	     36552 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32840	     36585 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32947	     36588 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32835	     36628 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32731	     36666 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32715	     36540 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32908	     36545 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/10000-4     	    3200	    368732 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3271	    367039 ns/op	  323073 B/op	   10083 allocs/op
Benchmark/10000-4     	    3260	    367007 ns/op	  323073 B/op	   10083 allocs/op
Benchmark/10000-4     	    3259	    370717 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3140	    372918 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3242	    364817 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3274	    365639 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3278	    365614 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3187	    371598 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3207	    369716 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/100000-4    	     319	   3779341 ns/op	 3221769 B/op	  100787 allocs/op
Benchmark/100000-4    	     313	   3878811 ns/op	 3221766 B/op	  100787 allocs/op
Benchmark/100000-4    	     318	   3789426 ns/op	 3221765 B/op	  100787 allocs/op
Benchmark/100000-4    	     316	   3898266 ns/op	 3221768 B/op	  100787 allocs/op
