Benchmark/0-4         	27865848	        40.76 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28516190	        40.56 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28219122	        40.38 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	27024332	        40.39 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28299751	        42.53 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28138659	        45.38 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	27439143	        40.96 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28036860	        41.51 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28352176	        40.74 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	27964196	        40.87 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4         	 7434682	       159.1 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7435858	       160.3 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7425590	       160.9 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7493804	       159.7 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7518172	       160.2 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7375905	       159.9 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7358043	       161.5 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7418512	       161.5 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7436671	       159.2 ns/op	     160 B/op	       4 allocs/op
Benchmark/1-4         	 7460784	       160.1 ns/op	     160 B/op	       4 allocs/op
Benchmark/10-4        	 2132877	       562.6 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2127813	       565.2 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2134008	       563.1 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2120368	       561.3 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2144418	       565.5 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2098312	       563.3 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2125615	       566.0 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2120677	       563.8 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2123710	       563.6 ns/op	     432 B/op	      14 allocs/op
Benchmark/10-4        	 2124550	       564.1 ns/op	     432 B/op	      14 allocs/op
Benchmark/100-4       	  278265	      4262 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  276976	      4212 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  278749	      4226 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  269204	      4217 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  277227	      4213 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  270054	      4238 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  277174	      4239 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  277449	      4220 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  276650	      4210 ns/op	    4480 B/op	     107 allocs/op
Benchmark/100-4       	  274982	      4230 ns/op	    4480 B/op	     107 allocs/op
Benchmark/1000-4      	   34143	     35040 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   33957	     34792 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34114	     35106 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34546	     34831 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   33637	     35632 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34636	     34945 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34654	     36562 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34714	     34168 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   34442	     34385 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/1000-4      	   33976	     35181 ns/op	   25168 B/op	    1013 allocs/op
Benchmark/10000-4     	    3268	    346573 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3330	    346202 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3369	    348040 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3266	    350331 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3306	    345871 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3319	    347053 ns/op	  242528 B/op	   10083 allocs/op
Benchmark/10000-4     	    3316	    346618 ns/op	  242528 B/op	   10083 allocs/op
