Benchmark/0-4         	27847726	        40.46 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29592736	        40.45 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29133260	        40.39 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29798728	        40.35 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29169423	        40.48 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28729470	        40.54 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29057074	        40.44 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29565162	        40.38 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	28548932	        40.57 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4         	29062861	        40.43 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4         	 7286845	       163.3 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7421299	       162.8 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7363308	       163.2 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7366870	       163.6 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7374777	       163.1 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7353127	       162.6 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7318591	       166.3 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7408441	       162.8 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7252454	       164.0 ns/op	     192 B/op	       4 allocs/op
Benchmark/1-4         	 7408272	       163.6 ns/op	     192 B/op	       4 allocs/op
Benchmark/10-4        	 2077395	       577.6 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2079579	       577.9 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2029662	       578.1 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2074087	       576.8 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2072186	       578.7 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2079656	       578.0 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2089275	       578.1 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2083771	       578.1 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2076546	       577.0 ns/op	     592 B/op	      14 allocs/op
Benchmark/10-4        	 2068309	       578.8 ns/op	     592 B/op	      14 allocs/op
Benchmark/100-4       	  262620	      4589 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  220113	      4588 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  259112	      4609 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  259680	      4712 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  262564	      4595 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  254658	      4599 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  261099	      4660 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  249589	      4595 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  250520	      4594 ns/op	    7200 B/op	     107 allocs/op
Benchmark/100-4       	  261331	      4581 ns/op	    7200 B/op	     107 allocs/op
Benchmark/1000-4      	   29662	     37019 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   33022	     36103 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   33099	     36187 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   33346	     36105 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32971	     36182 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   33025	     36052 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   33315	     36195 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32977	     36049 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   33114	     36987 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/1000-4      	   32578	     36164 ns/op	   34032 B/op	    1013 allocs/op
Benchmark/10000-4     	    3308	    365022 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3208	    365348 ns/op	  323073 B/op	   10083 allocs/op
Benchmark/10000-4     	    3218	    366560 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3231	    361922 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3242	    368480 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3216	    363092 ns/op	  323072 B/op	   10083 allocs/op
Benchmark/10000-4     	    3166	    366741 ns/op	  323072 B/op	   10083 allocs/op
