Benchmark/0-4         	27841816	        40.59 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29334966	        40.28 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28661168	        40.17 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28741084	        39.94 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28604473	        39.94 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28832248	        47.58 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29033149	        41.85 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29656587	        42.29 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	25853215	        44.32 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28445844	        40.02 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	 7580176	       175.9 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7122014	       163.3 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 6743433	       166.2 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7712409	       159.6 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7699669	       178.9 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 6743977	       168.1 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7441292	       175.4 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7522478	       153.7 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7743700	       171.8 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7742996	       155.4 ns/op	     320 B/op	       3 allocs/op
Benchmark/10-4        	 2297542	       467.8 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2245612	       485.9 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2405823	       556.6 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2203118	       475.9 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2557581	       470.0 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2580638	       468.7 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2567166	       467.3 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2557362	       466.1 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2150922	       491.6 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2536220	       500.8 ns/op	     464 B/op	      12 allocs/op
Benchmark/100-4       	  230486	      4856 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  246254	      4700 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  247762	      5748 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  215631	      5655 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  245967	      4874 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  236660	      4944 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  247576	      6125 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  190926	      5422 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  238779	      5824 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  252720	      4800 ns/op	    7280 B/op	     108 allocs/op
Benchmark/1000-4      	   28749	     41832 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28258	     42629 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   21435	     51637 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   25495	     50908 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   27535	     49746 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   25688	     44496 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28834	     41377 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28118	     45347 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28872	     42999 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   25555	     44796 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/10000-4     	    2536	    446580 ns/op	  945969 B/op	   10022 allocs/op
Benchmark/10000-4     	    2565	    440199 ns/op	  945969 B/op	   10022 allocs/op
Benchmark/10000-4     	    2586	    444111 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2623	    444359 ns/op	  945969 B/op	   10022 allocs/op
Benchmark/10000-4     	    2644	    441156 ns/op	  945969 B/op	   10022 allocs/op
Benchmark/10000-4     	    2619	    444406 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2670	    441655 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2616	    444453 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2625	    445164 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2607	    442807 ns/op	  945969 B/op	   10022 allocs/op
Benchmark/100000-4    	     152	   7824805 ns/op	 7891016 B/op	  100028 allocs/op
Benchmark/100000-4    	     153	   8371867 ns/op	 7891003 B/op	  100028 allocs/op
Benchmark/100000-4    	     151	   7570357 ns/op	 7891004 B/op	  100028 allocs/op
Benchmark/100000-4    	     157	   7615936 ns/op	 7891015 B/op	  100028 allocs/op
Benchmark/100000-4    	     153	   7532362 ns/op	 7891007 B/op	  100028 allocs/op
Benchmark/100000-4    	     156	   7507854 ns/op	 7891012 B/op	  100028 allocs/op
Benchmark/100000-4    	     154	   7632407 ns/op	 7891015 B/op	  100028 allocs/op
Benchmark/100000-4    	     154	   7563208 ns/op	 7891028 B/op	  100028 allocs/op
Benchmark/100000-4    	     154	   8002699 ns/op	 7891018 B/op	  100028 allocs/op
Benchmark/100000-4    	     154	   7638543 ns/op	 7891024 B/op	  100028 allocs/op
Benchmark/1000000-4   	      18	  65070432 ns/op	66331194 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      18	  66867085 ns/op	66331200 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      16	  66167562 ns/op	66331214 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      16	  67560293 ns/op	66331190 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      16	  66067542 ns/op	66331214 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      18	  65897395 ns/op	66331189 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      18	  67415029 ns/op	66331194 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      16	  67666815 ns/op	66331196 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      18	  66551178 ns/op	66331194 B/op	 1000034 allocs/op
Benchmark/1000000-4   	      16	  65392676 ns/op	66331196 B/op	 1000034 allocs/op
