Benchmark/0-4         	27389568	        39.70 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28929710	        39.75 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28184998	        39.63 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28818906	        39.54 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29203272	        39.56 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28821014	        39.51 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29129176	        39.48 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29239951	        39.55 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29520240	        39.65 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	29047140	        39.74 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	 7697205	       154.1 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7104091	       154.2 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7622278	       154.0 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7706479	       154.6 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7810599	       155.5 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7684215	       154.0 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7778352	       154.2 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7646732	       154.6 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7708996	       153.9 ns/op	     320 B/op	       3 allocs/op
Benchmark/1-4         	 7614537	       155.0 ns/op	     320 B/op	       3 allocs/op
Benchmark/10-4        	 2562138	       488.8 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2570346	       505.8 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2563272	       471.5 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2525730	       468.8 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2550664	       467.8 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2576613	       466.1 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2571224	       467.6 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2565956	       468.1 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2566340	       467.3 ns/op	     464 B/op	      12 allocs/op
Benchmark/10-4        	 2565919	       469.4 ns/op	     464 B/op	      12 allocs/op
Benchmark/100-4       	  247410	      4797 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  236433	      4723 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  245832	      4750 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  246319	      4731 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  245128	      4756 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  240916	      4795 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  217324	      5126 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  245533	      4746 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  244761	      4734 ns/op	    7280 B/op	     108 allocs/op
Benchmark/100-4       	  246692	      4720 ns/op	    7280 B/op	     108 allocs/op
Benchmark/1000-4      	   28808	     41878 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28759	     41638 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28822	     41886 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28890	     42302 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28552	     41916 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28860	     41682 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28873	     41701 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28810	     41569 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28989	     42136 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/1000-4      	   28743	     41713 ns/op	   64688 B/op	    1014 allocs/op
Benchmark/10000-4     	    2632	    439693 ns/op	  945969 B/op	   10022 allocs/op
Benchmark/10000-4     	    2516	    439422 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2607	    442309 ns/op	  945969 B/op	   10022 allocs/op
Benchmark/10000-4     	    2684	    438893 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2629	    437473 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2674	    436248 ns/op	  945968 B/op	   10022 allocs/op
Benchmark/10000-4     	    2612	    443769 ns/op	  945969 B/op	   10022 allocs/op
