Benchmark/0-4         	14197327	        82.55 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14358382	        82.36 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14305154	        82.61 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14455777	        82.78 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14356264	        82.68 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	13947459	        82.47 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14249440	        82.30 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14400255	        83.16 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14437819	        86.94 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	13566396	        85.04 ns/op	      88 B/op	       2 allocs/op
Benchmark/1-4         	 2071796	       575.7 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2064022	       576.6 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2080802	       576.7 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2081845	       574.1 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2067158	       578.7 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2082223	       576.6 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2071513	       574.3 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2074339	       579.2 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2087724	       575.1 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2081865	       581.6 ns/op	    1216 B/op	       9 allocs/op
Benchmark/10-4        	  847700	      1362 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  857718	      1356 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  825332	      1354 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  838621	      1356 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  865153	      1362 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  868926	      1346 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  857313	      1350 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  868359	      1355 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  828289	      1350 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  861782	      1352 ns/op	    1360 B/op	      18 allocs/op
Benchmark/100-4       	  134390	      8799 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  131667	      9128 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  130909	      8913 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  134652	      8911 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  134878	      8877 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  132039	      8925 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  133663	      8794 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  132657	      8772 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  134722	      8809 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  134968	      8820 ns/op	    2800 B/op	     108 allocs/op
Benchmark/1000-4      	   13779	     87126 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13834	     86121 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13789	     86421 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13756	     86396 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13724	     86346 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13820	     86121 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13830	     86223 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13861	     91808 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13872	     86129 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/1000-4      	   13766	     88381 ns/op	   25208 B/op	    1034 allocs/op
Benchmark/10000-4     	    1364	    861189 ns/op	  249944 B/op	   10199 allocs/op
Benchmark/10000-4     	    1369	    861512 ns/op	  249944 B/op	   10199 allocs/op
Benchmark/10000-4     	    1371	    870166 ns/op	  249944 B/op	   10199 allocs/op
Benchmark/10000-4     	    1380	    852676 ns/op	  249944 B/op	   10199 allocs/op
Benchmark/10000-4     	    1344	    914094 ns/op	  249944 B/op	   10199 allocs/op
Benchmark/10000-4     	    1356	    854224 ns/op	  249944 B/op	   10199 allocs/op
Benchmark/10000-4     	    1357	    859051 ns/op	  249944 B/op	   10199 allocs/op
