Benchmark/0-4         	14210276	        83.23 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14183928	        83.00 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14304792	        82.96 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	13867857	        82.61 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14328051	        83.41 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14225827	        85.49 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14282061	        82.59 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14180859	        83.84 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	14283597	        83.81 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4         	13825671	        84.31 ns/op	      88 B/op	       2 allocs/op
Benchmark/1-4         	 2052613	       579.6 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2054803	       582.3 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2061217	       581.7 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2063583	       587.9 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2038693	       582.0 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 1997964	       580.3 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2057182	       583.6 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2058445	       581.3 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2063600	       582.3 ns/op	    1216 B/op	       9 allocs/op
Benchmark/1-4         	 2021013	       586.9 ns/op	    1216 B/op	       9 allocs/op
Benchmark/10-4        	  791966	      1458 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  789348	      1474 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  795777	      1461 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  803001	      1459 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  784494	      1537 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  757194	      1471 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  786601	      1471 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  806127	      1475 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  777801	      1465 ns/op	    1360 B/op	      18 allocs/op
Benchmark/10-4        	  787414	      1461 ns/op	    1360 B/op	      18 allocs/op
Benchmark/100-4       	  118938	      9967 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  117336	     10058 ns/op	    2800 B/op	     108 allocs/op
Benchmark/100-4       	  118978	      9945 ns/op	    2800 B/op	     108 allocs/op
