Benchmark/0-4         	25875535	        41.43 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28228969	        41.18 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28161147	        41.11 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28147998	        41.07 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	27456336	        41.18 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28219952	        41.77 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28186122	        41.05 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28261204	        41.06 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28023243	        41.09 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4         	28105674	        41.26 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4         	10514774	       112.6 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10471254	       112.9 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10488339	       112.6 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10555716	       111.9 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10613326	       112.7 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10584408	       112.9 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10622414	       119.0 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	 9672801	       114.8 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10227909	       113.3 ns/op	     112 B/op	       3 allocs/op
Benchmark/1-4         	10549996	       113.3 ns/op	     112 B/op	       3 allocs/op
Benchmark/10-4        	 1595935	       756.0 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1595877	       740.8 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1605484	       742.1 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1589629	       737.7 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1608589	       743.5 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1610492	       749.7 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1605487	       742.8 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1607348	       741.1 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1593644	       740.1 ns/op	     688 B/op	      21 allocs/op
Benchmark/10-4        	 1605770	       743.6 ns/op	     688 B/op	      21 allocs/op
Benchmark/100-4       	  164649	      6986 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  167730	      6982 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  167116	      7023 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  166389	      7025 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  166473	      7004 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  159976	      6987 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  168080	      6970 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  169528	      6973 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  166000	      6977 ns/op	    6448 B/op	     201 allocs/op
Benchmark/100-4       	  168220	      6971 ns/op	    6448 B/op	     201 allocs/op
Benchmark/1000-4      	   17276	     68766 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17095	     68624 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17156	     68981 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17368	     68729 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17310	     69721 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17293	     68960 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17118	     68845 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17056	     69192 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17368	     68657 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/1000-4      	   17354	     68844 ns/op	   64048 B/op	    2001 allocs/op
Benchmark/10000-4     	    1686	    699197 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1684	    693471 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1694	    695083 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1690	    708749 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1623	    692947 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1664	    695862 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1687	    690245 ns/op	  640049 B/op	   20001 allocs/op
Benchmark/10000-4     	    1701	    692963 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1700	    691728 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/10000-4     	    1688	    695863 ns/op	  640050 B/op	   20001 allocs/op
Benchmark/100000-4    	      84	  14135373 ns/op	 6400053 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  13463627 ns/op	 6400051 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  14880145 ns/op	 6400049 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  13723040 ns/op	 6400049 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  13283612 ns/op	 6400053 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  14491199 ns/op	 6400055 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  14492588 ns/op	 6400049 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  14500995 ns/op	 6400049 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  14013214 ns/op	 6400056 B/op	  200001 allocs/op
Benchmark/100000-4    	     100	  15027469 ns/op	 6400059 B/op	  200001 allocs/op
Benchmark/1000000-4   	       9	 124496534 ns/op	64000058 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       9	 120676462 ns/op	64000080 B/op	 2000001 allocs/op
Benchmark/1000000-4   	      10	 109055547 ns/op	64000067 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       9	 119847718 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       9	 112714204 ns/op	64000058 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       9	 119205916 ns/op	64000058 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       9	 111697586 ns/op	64000058 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       8	 131287277 ns/op	64000060 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       9	 113618819 ns/op	64000048 B/op	 2000001 allocs/op
Benchmark/1000000-4   	       9	 118888539 ns/op	64000069 B/op	 2000001 allocs/op
