Benchmark/0-4         	15921704	        73.56 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16272862	        72.85 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16144132	        77.35 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16249531	        72.71 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16181854	        73.22 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16265617	        72.96 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	15971937	        72.89 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16221343	        72.80 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16069268	        72.90 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4         	16399692	        72.64 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4         	11171643	       107.1 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	11191911	       107.2 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	11084295	       107.6 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	11030629	       107.3 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	11157546	       108.9 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	11044525	       107.5 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	10937764	       107.3 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	10890657	       107.0 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	10845584	       107.7 ns/op	      80 B/op	       3 allocs/op
Benchmark/1-4         	11123190	       115.2 ns/op	      80 B/op	       3 allocs/op
Benchmark/10-4        	 1315902	       973.6 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1235814	       955.0 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1232052	      1017 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1384942	       785.4 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1514608	       786.0 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1518069	       780.4 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1525134	       784.1 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1516759	       783.9 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1518489	       780.8 ns/op	     832 B/op	      17 allocs/op
Benchmark/10-4        	 1519375	       783.3 ns/op	     832 B/op	      17 allocs/op
Benchmark/100-4       	  232083	      5068 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  230768	      5109 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  232166	      5054 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  227944	      5039 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  226123	      5047 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  232076	      5045 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  231106	      5053 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  228985	      5066 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  230343	      5097 ns/op	    7648 B/op	     113 allocs/op
Benchmark/100-4       	  228984	      5065 ns/op	    7648 B/op	     113 allocs/op
Benchmark/1000-4      	   28748	     41978 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28612	     41943 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28660	     45334 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   27715	     41860 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28635	     41985 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28705	     42270 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28711	     41776 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28682	     43510 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28585	     42025 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/1000-4      	   28761	     41847 ns/op	   65056 B/op	    1019 allocs/op
Benchmark/10000-4     	    2500	    449039 ns/op	  946341 B/op	   10027 allocs/op
Benchmark/10000-4     	    2635	    449221 ns/op	  946341 B/op	   10027 allocs/op
Benchmark/10000-4     	    2665	    446082 ns/op	  946341 B/op	   10027 allocs/op
Benchmark/10000-4     	    2598	    449173 ns/op	  946341 B/op	   10027 allocs/op
Benchmark/10000-4     	    2594	    447732 ns/op	  946340 B/op	   10027 allocs/op
Benchmark/10000-4     	    2566	    451599 ns/op	  946339 B/op	   10027 allocs/op
Benchmark/10000-4     	    2592	    449535 ns/op	  946340 B/op	   10027 allocs/op
Benchmark/10000-4     	    2641	    452096 ns/op	  946340 B/op	   10027 allocs/op
Benchmark/10000-4     	    2646	    449412 ns/op	  946340 B/op	   10027 allocs/op
Benchmark/10000-4     	    2670	    449083 ns/op	  946340 B/op	   10027 allocs/op
Benchmark/100000-4    	     156	   7598144 ns/op	 7891390 B/op	  100033 allocs/op
Benchmark/100000-4    	     154	   7653324 ns/op	 7891384 B/op	  100033 allocs/op
Benchmark/100000-4    	     154	   7721914 ns/op	 7891386 B/op	  100033 allocs/op
Benchmark/100000-4    	     154	   7600265 ns/op	 7891387 B/op	  100033 allocs/op
Benchmark/100000-4    	     152	   7526535 ns/op	 7891392 B/op	  100033 allocs/op
Benchmark/100000-4    	     151	   7609384 ns/op	 7891390 B/op	  100033 allocs/op
Benchmark/100000-4    	     154	   7695037 ns/op	 7891389 B/op	  100033 allocs/op
Benchmark/100000-4    	     153	   7630107 ns/op	 7891388 B/op	  100033 allocs/op
Benchmark/100000-4    	     154	   7691145 ns/op	 7891397 B/op	  100033 allocs/op
Benchmark/100000-4    	     154	   7610551 ns/op	 7891397 B/op	  100033 allocs/op
Benchmark/1000000-4   	      16	  66387089 ns/op	66331552 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      16	  66331424 ns/op	66331564 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      16	  65407149 ns/op	66331564 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      16	  65870226 ns/op	66331570 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      16	  65070169 ns/op	66331558 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      19	  65000860 ns/op	66331552 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      16	  65249762 ns/op	66331576 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      16	  66212690 ns/op	66331564 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      18	  64799286 ns/op	66331573 B/op	 1000039 allocs/op
Benchmark/1000000-4   	      18	  66701862 ns/op	66331562 B/op	 1000039 allocs/op
