Benchmark/0-4 	  136570	      8639 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  135397	      8593 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  132709	      8492 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  135908	      8612 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  132351	      8475 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  134950	      8495 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  135146	      8737 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  134908	      8488 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  138087	      8567 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4 	  136371	      8651 ns/op	   65672 B/op	       3 allocs/op
Benchmark/1-4 	  128986	     10194 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  129416	      8960 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  126758	      9043 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  131401	      8966 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  131564	      8872 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  131550	      8929 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  130606	      9060 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  130560	      8795 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  131995	      8853 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4 	  129094	      8925 ns/op	   65784 B/op	      10 allocs/op
Benchmark/10-4         	  106520	     11305 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  101136	     11087 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  107576	     11208 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  107320	     11054 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  106105	     11152 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  106665	     11114 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  106857	     11055 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  107968	     11046 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  105513	     11056 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  106466	     11076 ns/op	   66792 B/op	      73 allocs/op
Benchmark/100-4        	   41004	     29125 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41144	     29461 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41008	     29211 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41316	     29108 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41160	     29279 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41136	     29369 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41289	     29157 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41220	     29254 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41202	     29346 ns/op	   76872 B/op	     703 allocs/op
Benchmark/100-4        	   41390	     29210 ns/op	   76872 B/op	     703 allocs/op
Benchmark/1000-4       	    5017	    224048 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    4959	    223347 ns/op	  243256 B/op	    7005 allocs/op
Benchmark/1000-4       	    5086	    223846 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    5084	    224547 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    4923	    225271 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    5070	    223049 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    5144	    223913 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    5032	    223703 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    5007	    223213 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/1000-4       	    5064	    224793 ns/op	  243257 B/op	    7005 allocs/op
Benchmark/10000-4      	     568	   2110036 ns/op	 1382508 B/op	   70009 allocs/op
Benchmark/10000-4      	     566	   2127639 ns/op	 1382509 B/op	   70009 allocs/op
Benchmark/10000-4      	     560	   2115291 ns/op	 1382507 B/op	   70009 allocs/op
Benchmark/10000-4      	     560	   2120283 ns/op	 1382509 B/op	   70009 allocs/op
Benchmark/10000-4      	     564	   2126762 ns/op	 1382508 B/op	   70009 allocs/op
Benchmark/10000-4      	     567	   2352597 ns/op	 1382509 B/op	   70009 allocs/op
Benchmark/10000-4      	     548	   2123508 ns/op	 1382509 B/op	   70009 allocs/op
Benchmark/10000-4      	     566	   2124643 ns/op	 1382507 B/op	   70009 allocs/op
Benchmark/10000-4      	     556	   2115292 ns/op	 1382507 B/op	   70009 allocs/op
Benchmark/10000-4      	     566	   2116551 ns/op	 1382507 B/op	   70009 allocs/op
Benchmark/100000-4     	      48	  23576324 ns/op	12912784 B/op	  700053 allocs/op
Benchmark/100000-4     	      48	  23700691 ns/op	12912780 B/op	  700053 allocs/op
Benchmark/100000-4     	      46	  23613397 ns/op	12912787 B/op	  700053 allocs/op
Benchmark/100000-4     	      49	  23460157 ns/op	12912793 B/op	  700053 allocs/op
Benchmark/100000-4     	      48	  23529383 ns/op	12912786 B/op	  700053 allocs/op
Benchmark/100000-4     	      50	  23547214 ns/op	12912786 B/op	  700053 allocs/op
Benchmark/100000-4     	      49	  23779827 ns/op	12912797 B/op	  700053 allocs/op
Benchmark/100000-4     	      48	  23982194 ns/op	12912780 B/op	  700053 allocs/op
Benchmark/100000-4     	      49	  23670347 ns/op	12912787 B/op	  700053 allocs/op
Benchmark/100000-4     	      48	  23615172 ns/op	12912792 B/op	  700053 allocs/op
Benchmark/1000000-4    	       5	 239432019 ns/op	128901816 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 237448054 ns/op	128901816 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 241203076 ns/op	128901892 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 237764543 ns/op	128901873 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 238772124 ns/op	128901835 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 239847034 ns/op	128901835 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 237403064 ns/op	128901873 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 239362454 ns/op	128901816 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 238941341 ns/op	128901854 B/op	 7000493 allocs/op
Benchmark/1000000-4    	       5	 238544161 ns/op	128901835 B/op	 7000493 allocs/op
