Benchmark/0-4          	  127989	      8764 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  133515	      8880 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  133063	      8908 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  132362	      8916 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  134497	      8861 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  134648	      8748 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  134536	      8603 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  131662	      8898 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  135118	      8802 ns/op	   65672 B/op	       3 allocs/op
Benchmark/0-4          	  133791	      8907 ns/op	   65672 B/op	       3 allocs/op
Benchmark/1-4          	  128953	      9103 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  128190	      9094 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  128703	      9206 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  130444	      9170 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  114730	     10918 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  112268	      9194 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  127690	      9135 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  128892	      9119 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  128970	      9325 ns/op	   65784 B/op	      10 allocs/op
Benchmark/1-4          	  129874	      9054 ns/op	   65784 B/op	      10 allocs/op
Benchmark/10-4         	  106251	     11081 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  105025	     11100 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  108030	     11212 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  104430	     11165 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  107863	     11083 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  107497	     11128 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	   97942	     11058 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  106736	     11040 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  107956	     11108 ns/op	   66792 B/op	      73 allocs/op
Benchmark/10-4         	  107335	     11113 ns/op	   66792 B/op	      73 allocs/op
Benchmark/100-4        	   41133	     29190 ns/op	   76872 B/op	     703 allocs/op
