Benchmark/0-4 	24810249	        46.46 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	25181463	        45.95 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	25398912	        45.89 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	25081622	        45.89 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	25631124	        45.78 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	25493088	        45.83 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	25244592	        45.70 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	25016721	        46.28 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	24617695	        45.91 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4 	24833797	        45.86 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4 	 2801461	       432.5 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2797713	       432.9 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2446300	       449.7 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2784873	       428.8 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2792617	       429.2 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2810176	       427.6 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2813637	       433.4 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2785771	       431.2 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2799034	       432.3 ns/op	     384 B/op	      11 allocs/op
Benchmark/1-4 	 2788219	       430.7 ns/op	     384 B/op	      11 allocs/op
Benchmark/10-4         	  430030	      2713 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  422092	      2694 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  418734	      2750 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  428631	      2693 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  420572	      2693 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  400786	      2697 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  414987	      2705 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  426393	      2697 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  431089	      2701 ns/op	    1904 B/op	      75 allocs/op
Benchmark/10-4         	  418623	      2728 ns/op	    1904 B/op	      75 allocs/op
Benchmark/100-4        	   50804	     23576 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   51135	     23522 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   51163	     24251 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   48892	     24227 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   50552	     23667 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   50625	     23852 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   50868	     23679 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   50244	     23524 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   50265	     23710 ns/op	   16176 B/op	     709 allocs/op
Benchmark/100-4        	   50829	     23731 ns/op	   16176 B/op	     709 allocs/op
Benchmark/1000-4       	    4581	    233227 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4800	    238527 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4826	    232658 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4755	    232062 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4890	    233656 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4351	    244586 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4526	    239392 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4714	    235399 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4567	    233843 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/1000-4       	    4732	    229435 ns/op	  123264 B/op	    7015 allocs/op
Benchmark/10000-4      	     513	   2248803 ns/op	 1277989 B/op	   70155 allocs/op
Benchmark/10000-4      	     512	   2236279 ns/op	 1277987 B/op	   70155 allocs/op
Benchmark/10000-4      	     514	   2254438 ns/op	 1277987 B/op	   70155 allocs/op
Benchmark/10000-4      	     514	   2245983 ns/op	 1277989 B/op	   70155 allocs/op
Benchmark/10000-4      	     511	   2357928 ns/op	 1277987 B/op	   70155 allocs/op
Benchmark/10000-4      	     508	   2355172 ns/op	 1277987 B/op	   70155 allocs/op
Benchmark/10000-4      	     520	   2287672 ns/op	 1277987 B/op	   70155 allocs/op
Benchmark/10000-4      	     445	   2367830 ns/op	 1277987 B/op	   70155 allocs/op
Benchmark/10000-4      	     516	   2230433 ns/op	 1277989 B/op	   70155 allocs/op
Benchmark/10000-4      	     499	   2333927 ns/op	 1277986 B/op	   70155 allocs/op
Benchmark/100000-4     	      42	  25741715 ns/op	12831485 B/op	  701561 allocs/op
Benchmark/100000-4     	      44	  26335323 ns/op	12831502 B/op	  701561 allocs/op
Benchmark/100000-4     	      43	  25765828 ns/op	12831507 B/op	  701561 allocs/op
Benchmark/100000-4     	      42	  25734302 ns/op	12831513 B/op	  701561 allocs/op
Benchmark/100000-4     	      44	  25703852 ns/op	12831498 B/op	  701561 allocs/op
Benchmark/100000-4     	      43	  25969017 ns/op	12831512 B/op	  701561 allocs/op
Benchmark/100000-4     	      42	  26068156 ns/op	12831501 B/op	  701561 allocs/op
Benchmark/100000-4     	      46	  25928823 ns/op	12831511 B/op	  701561 allocs/op
Benchmark/100000-4     	      42	  26030862 ns/op	12831497 B/op	  701561 allocs/op
Benchmark/100000-4     	      43	  26328305 ns/op	12831498 B/op	  701561 allocs/op
Benchmark/1000000-4    	       4	 274905005 ns/op	128368592 B/op	 7015624 allocs/op
