Benchmark/0-4          	24743072	        50.64 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	24516627	        46.06 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	24309074	        45.97 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	24914083	        45.87 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	25279012	        45.77 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	24886537	        45.61 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	24854467	        46.37 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	24877771	        45.58 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	25366237	        45.68 ns/op	      64 B/op	       1 allocs/op
Benchmark/0-4          	25174941	        45.76 ns/op	      64 B/op	       1 allocs/op
Benchmark/1-4          	 3335392	       359.6 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3323167	       359.1 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3354877	       358.4 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3367432	       360.6 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3320338	       361.1 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3355209	       364.3 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3340514	       380.3 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3356653	       357.0 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3365552	       357.0 ns/op	     256 B/op	      10 allocs/op
Benchmark/1-4          	 3353959	       360.4 ns/op	     256 B/op	      10 allocs/op
Benchmark/10-4         	  447744	      2536 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  449959	      2527 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  426802	      2530 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  454701	      2513 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  442581	      2529 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  453654	      2526 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  444540	      2525 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  441741	      2558 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  434967	      2529 ns/op	    1392 B/op	      74 allocs/op
Benchmark/10-4         	  452163	      2520 ns/op	    1392 B/op	      74 allocs/op
Benchmark/100-4        	   52261	     23177 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   51783	     22949 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   52100	     22938 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   52245	     23107 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   52249	     22999 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   50358	     23455 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   50708	     23213 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   51290	     23322 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   50586	     23654 ns/op	   14080 B/op	     707 allocs/op
Benchmark/100-4        	   51675	     23496 ns/op	   14080 B/op	     707 allocs/op
Benchmark/1000-4       	    4708	    229163 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4994	    230481 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4620	    231060 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    5020	    229891 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4816	    227739 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4887	    228823 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4785	    227485 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4717	    227787 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4742	    223897 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/1000-4       	    4806	    227604 ns/op	  121168 B/op	    7013 allocs/op
Benchmark/10000-4      	     507	   2392319 ns/op	 1273794 B/op	   70151 allocs/op
Benchmark/10000-4      	     499	   2378478 ns/op	 1273796 B/op	   70151 allocs/op
Benchmark/10000-4      	     499	   2381092 ns/op	 1273794 B/op	   70151 allocs/op
Benchmark/10000-4      	     507	   2360400 ns/op	 1273796 B/op	   70151 allocs/op
Benchmark/10000-4      	     506	   2395420 ns/op	 1273795 B/op	   70151 allocs/op
Benchmark/10000-4      	     501	   2384741 ns/op	 1273796 B/op	   70151 allocs/op
Benchmark/10000-4      	     502	   2380042 ns/op	 1273795 B/op	   70151 allocs/op
Benchmark/10000-4      	     506	   2492249 ns/op	 1273795 B/op	   70151 allocs/op
Benchmark/10000-4      	     504	   2358887 ns/op	 1273795 B/op	   70151 allocs/op
Benchmark/10000-4      	     514	   2384625 ns/op	 1273794 B/op	   70151 allocs/op
Benchmark/100000-4     	      40	  25775257 ns/op	12829404 B/op	  701559 allocs/op
Benchmark/100000-4     	      44	  25826004 ns/op	12829400 B/op	  701559 allocs/op
Benchmark/100000-4     	      40	  27256205 ns/op	12829409 B/op	  701559 allocs/op
Benchmark/100000-4     	      39	  26533601 ns/op	12829420 B/op	  701559 allocs/op
