Benchmark/0-4 	13379402	        92.56 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13311440	        88.32 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	12906854	        89.55 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13660162	        88.13 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13529704	        87.72 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13578896	        87.16 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13443686	        87.57 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13261138	        88.54 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13251487	        87.31 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4 	13487914	        87.23 ns/op	      88 B/op	       2 allocs/op
Benchmark/1-4 	  937452	      1249 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  930325	      1239 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  914961	      1382 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  894675	      1244 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  942757	      1248 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  920475	      1240 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  929476	      1246 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  916260	      1239 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  907101	      1243 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4 	  937620	      1237 ns/op	    1352 B/op	      18 allocs/op
Benchmark/10-4         	  156176	      7524 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  157310	      7545 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  157680	      7529 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  150638	      7544 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  156812	      7577 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  144952	      7609 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  156154	      7537 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  154981	      7569 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  154411	      7552 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  154890	      7522 ns/op	    2600 B/op	     101 allocs/op
Benchmark/100-4        	   17554	     68066 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   17424	     67749 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   17394	     68589 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   17498	     68511 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   17224	     69159 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   17550	     68334 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   17343	     67644 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   17410	     68546 ns/op	   14840 B/op	     911 allocs/op
