Benchmark/0-4          	13323357	        88.13 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13541949	        86.90 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13626181	        86.54 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13508611	        86.76 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13597473	        86.79 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13164474	        86.72 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13320536	        87.14 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13559755	        87.44 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	13384995	        94.13 ns/op	      88 B/op	       2 allocs/op
Benchmark/0-4          	10849612	        99.18 ns/op	      88 B/op	       2 allocs/op
Benchmark/1-4          	  749185	      1347 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  896290	      1306 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  876612	      1391 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  893496	      1301 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  859561	      1302 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  894752	      1318 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  877902	      1298 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  888315	      1300 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  895225	      1296 ns/op	    1352 B/op	      18 allocs/op
Benchmark/1-4          	  900306	      1294 ns/op	    1352 B/op	      18 allocs/op
Benchmark/10-4         	  141741	      8337 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  142419	      8336 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  142189	      8353 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  140023	      8372 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  139694	      8394 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  138820	      8362 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  137719	      8398 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  141253	      8343 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  140736	      8346 ns/op	    2600 B/op	     101 allocs/op
Benchmark/10-4         	  141700	      8429 ns/op	    2600 B/op	     101 allocs/op
Benchmark/100-4        	   15597	     76503 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   15628	     76405 ns/op	   14840 B/op	     911 allocs/op
Benchmark/100-4        	   15435	     76933 ns/op	   14840 B/op	     911 allocs/op
