Benchmark/0-4 	24644113	        43.95 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26442800	        43.60 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26791870	        44.16 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26211990	        43.62 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26454733	        43.69 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26909131	        43.75 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26625537	        43.68 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26516244	        43.58 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26348140	        43.69 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26377976	        43.69 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4 	 1845784	       651.1 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1849478	       645.5 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1845704	       659.1 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1835601	       652.4 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1830289	       652.8 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1839940	       650.4 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1832905	       645.1 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1839434	       650.0 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1833688	       699.9 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 1825134	       646.2 ns/op	     432 B/op	      17 allocs/op
Benchmark/10-4         	  244059	      4709 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  247747	      4735 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  249194	      4689 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  246638	      4692 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  247212	      4691 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  249381	      4695 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  249020	      4696 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  248235	      4689 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  246217	      4699 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  247828	      4711 ns/op	    6912 B/op	     109 allocs/op
Benchmark/100-4        	   37855	     32002 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37854	     31856 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37815	     31682 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37984	     31700 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37887	     31688 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37729	     31887 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37534	     31677 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37782	     31626 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37874	     31634 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   37651	     31764 ns/op	   29632 B/op	     927 allocs/op
Benchmark/1000-4       	    3709	    303746 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    3729	    304055 ns/op	  260993 B/op	    9111 allocs/op
