Benchmark/0-4 	24828848	        44.64 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	25509998	        44.58 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26342686	        44.61 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26030739	        44.60 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26211858	        44.54 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	26072876	        44.63 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	25680652	        44.80 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	25702387	        44.95 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	25733049	        44.80 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4 	25864455	        44.64 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4 	 2292307	       525.7 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 1989890	       530.9 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2275035	       525.1 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2283615	       526.3 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2292366	       525.0 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2292814	       525.8 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2293020	       524.0 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2292362	       524.2 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2286607	       524.2 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4 	 2301639	       523.0 ns/op	     496 B/op	      15 allocs/op
Benchmark/10-4         	  205618	      4901 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  236989	      4893 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  236041	      4896 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  232723	      4893 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  226503	      4924 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  237546	      4893 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  236683	      4909 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  234373	      4902 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  237703	      4907 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  235389	      4903 ns/op	    4528 B/op	     141 allocs/op
Benchmark/100-4        	   24981	     48126 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25081	     47993 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25213	     47769 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25129	     47824 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25174	     47727 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   24550	     47959 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25165	     47920 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25099	     48066 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25050	     47873 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25000	     47906 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/1000-4       	    2389	    477919 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2337	    485408 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2359	    481540 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2424	    478760 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2422	    482105 ns/op	  448050 B/op	   14001 allocs/op
Benchmark/1000-4       	    2330	    479273 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2430	    479653 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2348	    479258 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2460	    480572 ns/op	  448049 B/op	   14001 allocs/op
Benchmark/1000-4       	    2426	    479906 ns/op	  448049 B/op	   14001 allocs/op
