Benchmark/0-4          	24729686	        44.59 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	25750239	        44.55 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	25969532	        44.80 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	25836549	        44.73 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	25965429	        44.64 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	26011897	        44.74 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	25847719	        44.55 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	26074402	        44.52 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	24413554	        45.56 ns/op	      48 B/op	       1 allocs/op
Benchmark/0-4          	25962553	        45.89 ns/op	      48 B/op	       1 allocs/op
Benchmark/1-4          	 1992858	       528.7 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2283679	       526.8 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2280686	       523.5 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2266260	       529.6 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2287105	       528.2 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2283429	       523.6 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2272627	       523.5 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2297485	       525.4 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2286710	       525.0 ns/op	     496 B/op	      15 allocs/op
Benchmark/1-4          	 2249725	       525.6 ns/op	     496 B/op	      15 allocs/op
Benchmark/10-4         	  238322	      4900 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  244117	      4877 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  231162	      4901 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  235144	      4887 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  239682	      4896 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  236900	      4889 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  233826	      4908 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  234922	      4922 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  239673	      4927 ns/op	    4528 B/op	     141 allocs/op
Benchmark/10-4         	  237453	      4892 ns/op	    4528 B/op	     141 allocs/op
Benchmark/100-4        	   25142	     48022 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25270	     47822 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25218	     47899 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25144	     47751 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25146	     47955 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25264	     47855 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25068	     47844 ns/op	   44848 B/op	    1401 allocs/op
Benchmark/100-4        	   25076	     48227 ns/op	   44848 B/op	    1401 allocs/op
