Benchmark/0-4 	14799459	        77.53 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15029205	        85.06 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15122907	        76.84 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15121616	        77.51 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15255236	        77.71 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15394258	        77.20 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15262524	        77.30 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15266077	        77.45 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15288832	        77.09 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4 	15448519	        76.87 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4 	 2803096	       427.0 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2727390	       429.9 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2811102	       429.7 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2814582	       426.5 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2821778	       429.6 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2816048	       429.0 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2817638	       428.4 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2813664	       430.4 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2796093	       428.0 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4 	 2750966	       427.4 ns/op	     272 B/op	      11 allocs/op
Benchmark/10-4         	  375147	      3056 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  377688	      3034 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  374697	      3045 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  383035	      3039 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  384736	      3069 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  379520	      3056 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  383467	      3067 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  370832	      3088 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  381939	      3078 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  371058	      3060 ns/op	    2176 B/op	      79 allocs/op
Benchmark/100-4        	   45379	     26109 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45620	     26064 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45876	     26139 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45927	     26142 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45230	     26351 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45939	     26024 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46048	     26283 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45978	     26158 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45681	     26196 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   45690	     26104 ns/op	   23008 B/op	     721 allocs/op
Benchmark/1000-4       	    4680	    243446 ns/op	  209825 B/op	    7033 allocs/op
Benchmark/1000-4       	    4701	    241577 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4782	    242184 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4689	    244564 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4680	    243458 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4569	    257488 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4660	    241673 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4438	    242793 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4706	    242426 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/1000-4       	    4576	    243410 ns/op	  209824 B/op	    7033 allocs/op
Benchmark/10000-4      	     466	   2581415 ns/op	 2692391 B/op	   70049 allocs/op
Benchmark/10000-4      	     464	   2580180 ns/op	 2692390 B/op	   70049 allocs/op
Benchmark/10000-4      	     465	   2589313 ns/op	 2692388 B/op	   70049 allocs/op
Benchmark/10000-4      	     464	   2573519 ns/op	 2692389 B/op	   70049 allocs/op
Benchmark/10000-4      	     463	   2574334 ns/op	 2692394 B/op	   70049 allocs/op
Benchmark/10000-4      	     464	   2587928 ns/op	 2692388 B/op	   70049 allocs/op
Benchmark/10000-4      	     464	   2599003 ns/op	 2692391 B/op	   70049 allocs/op
Benchmark/10000-4      	     465	   2600692 ns/op	 2692389 B/op	   70049 allocs/op
Benchmark/10000-4      	     464	   2588994 ns/op	 2692389 B/op	   70049 allocs/op
Benchmark/10000-4      	     468	   2575510 ns/op	 2692391 B/op	   70049 allocs/op
Benchmark/100000-4     	      39	  30234787 ns/op	23782444 B/op	  700061 allocs/op
Benchmark/100000-4     	      39	  29587164 ns/op	23782459 B/op	  700061 allocs/op
Benchmark/100000-4     	      38	  30200504 ns/op	23782447 B/op	  700061 allocs/op
Benchmark/100000-4     	      37	  30004274 ns/op	23782455 B/op	  700061 allocs/op
Benchmark/100000-4     	      38	  30070792 ns/op	23782462 B/op	  700061 allocs/op
Benchmark/100000-4     	      38	  29822374 ns/op	23782469 B/op	  700061 allocs/op
Benchmark/100000-4     	      38	  29649930 ns/op	23782454 B/op	  700061 allocs/op
Benchmark/100000-4     	      39	  29641175 ns/op	23782459 B/op	  700061 allocs/op
Benchmark/100000-4     	      38	  29779400 ns/op	23782459 B/op	  700061 allocs/op
Benchmark/100000-4     	      38	  30690057 ns/op	23782474 B/op	  700061 allocs/op
Benchmark/1000000-4    	       4	 304178491 ns/op	212662888 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       4	 299787177 ns/op	212662840 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       4	 301002385 ns/op	212662936 B/op	 7000074 allocs/op
Benchmark/1000000-4    	       4	 302325638 ns/op	212662816 B/op	 7000073 allocs/op
Benchmark/1000000-4    	       4	 304692541 ns/op	212662888 B/op	 7000073 allocs/op
