Benchmark/0-4          	15082951	        77.47 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	14912877	        76.85 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	15359048	        76.40 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	14710713	        82.66 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	15353198	        76.28 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	15527425	        76.73 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	15479074	        76.61 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	15395995	        76.66 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	15425187	        76.52 ns/op	      64 B/op	       2 allocs/op
Benchmark/0-4          	15265362	        76.20 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4          	 2739805	       434.6 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2751615	       434.2 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2767441	       432.4 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2782384	       433.2 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2667069	       435.7 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2779222	       432.5 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2765952	       434.7 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2790006	       435.1 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2667992	       448.5 ns/op	     272 B/op	      11 allocs/op
Benchmark/1-4          	 2791244	       435.7 ns/op	     272 B/op	      11 allocs/op
Benchmark/10-4         	  378328	      3018 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  385069	      3013 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  385023	      3022 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  371056	      3015 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  386233	      3000 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  384220	      3013 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  383239	      3008 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  356199	      3043 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  379290	      3052 ns/op	    2176 B/op	      79 allocs/op
Benchmark/10-4         	  387800	      3019 ns/op	    2176 B/op	      79 allocs/op
Benchmark/100-4        	   46467	     25966 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46508	     25843 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46368	     25908 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46473	     25795 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46164	     25892 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46258	     26102 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46252	     25825 ns/op	   23008 B/op	     721 allocs/op
Benchmark/100-4        	   46486	     25915 ns/op	   23008 B/op	     721 allocs/op
