Benchmark/0-4          	25198538	        43.78 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	26620692	        44.12 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	26469780	        44.03 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	26453757	        44.26 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	25725609	        48.54 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	23006625	        44.88 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	26384233	        43.99 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	25771430	        44.20 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	26680087	        44.10 ns/op	      24 B/op	       1 allocs/op
Benchmark/0-4          	26039774	        44.60 ns/op	      24 B/op	       1 allocs/op
Benchmark/1-4          	 3054705	       393.8 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3042108	       398.8 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3021638	       395.0 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3054273	       393.1 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3049292	       397.7 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3048703	       399.2 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3067424	       397.5 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3031774	       394.4 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3007125	       395.5 ns/op	     192 B/op	      11 allocs/op
Benchmark/1-4          	 3048283	       394.8 ns/op	     192 B/op	      11 allocs/op
Benchmark/10-4         	  473016	      2472 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  464653	      2452 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  469321	      2446 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  486801	      2456 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  471654	      2448 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  477122	      2459 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  475107	      2464 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  473368	      2457 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  477265	      2456 ns/op	    1392 B/op	      76 allocs/op
Benchmark/10-4         	  482359	      2449 ns/op	    1392 B/op	      76 allocs/op
Benchmark/100-4        	   57470	     20671 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   56522	     20721 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   57501	     20736 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   57520	     21076 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   57391	     20694 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   56892	     20720 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   57206	     21064 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   58186	     21011 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   57865	     20748 ns/op	   13264 B/op	     709 allocs/op
Benchmark/100-4        	   56257	     20749 ns/op	   13264 B/op	     709 allocs/op
Benchmark/1000-4       	    5635	    202990 ns/op	  137232 B/op	    7013 allocs/op
Benchmark/1000-4       	    5420	    204928 ns/op	  137232 B/op	    7013 allocs/op
Benchmark/1000-4       	    5608	    201190 ns/op	  137232 B/op	    7013 allocs/op
Benchmark/1000-4       	    5517	    201634 ns/op	  137232 B/op	    7013 allocs/op
Benchmark/1000-4       	    5738	    201635 ns/op	  137232 B/op	    7013 allocs/op
Benchmark/1000-4       	    5731	    200464 ns/op	  137232 B/op	    7013 allocs/op
Benchmark/1000-4       	    5679	    201555 ns/op	  137232 B/op	    7013 allocs/op
