Benchmark/1-4                	  334062	      3506 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  317878	      3495 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  332481	      3482 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  331400	      3479 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  333474	      3471 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  326917	      3494 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  336237	      3475 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  335671	      3475 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  316833	      3471 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  335332	      3478 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   36300	     33852 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   35250	     33296 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   36225	     33293 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   36460	     33080 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   35744	     33172 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   36139	     33549 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   36146	     33414 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   35832	     33100 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   36099	     33375 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/10-4               	   36366	     33226 ns/op	   16003 B/op	    1000 allocs/op
Benchmark/100-4              	    3036	    355734 ns/op	  160043 B/op	   10000 allocs/op
Benchmark/100-4              	    3322	    321269 ns/op	  160040 B/op	   10000 allocs/op
Benchmark/100-4              	    3591	    321469 ns/op	  160037 B/op	   10000 allocs/op
Benchmark/100-4              	    3543	    320870 ns/op	  160037 B/op	   10000 allocs/op
Benchmark/100-4              	    3603	    323914 ns/op	  160037 B/op	   10000 allocs/op
Benchmark/100-4              	    3606	    324186 ns/op	  160037 B/op	   10000 allocs/op
Benchmark/100-4              	    3468	    320732 ns/op	  160038 B/op	   10000 allocs/op
Benchmark/100-4              	    3541	    322995 ns/op	  160037 B/op	   10000 allocs/op
Benchmark/100-4              	    3646	    320795 ns/op	  160036 B/op	   10000 allocs/op
Benchmark/100-4              	    3668	    322299 ns/op	  160036 B/op	   10000 allocs/op
Benchmark/1000-4             	     374	   3234243 ns/op	 1600357 B/op	  100000 allocs/op
Benchmark/1000-4             	     376	   3177631 ns/op	 1600355 B/op	  100000 allocs/op
Benchmark/1000-4             	     373	   3225543 ns/op	 1600361 B/op	  100000 allocs/op
Benchmark/1000-4             	     378	   3197834 ns/op	 1600356 B/op	  100000 allocs/op
Benchmark/1000-4             	     372	   3179228 ns/op	 1600359 B/op	  100000 allocs/op
Benchmark/1000-4             	     379	   3177667 ns/op	 1600357 B/op	  100000 allocs/op
Benchmark/1000-4             	     374	   3167318 ns/op	 1600360 B/op	  100000 allocs/op
Benchmark/1000-4             	     379	   3165404 ns/op	 1600354 B/op	  100000 allocs/op
Benchmark/1000-4             	     378	   3196282 ns/op	 1600354 B/op	  100000 allocs/op
Benchmark/1000-4             	     373	   3190086 ns/op	 1600358 B/op	  100000 allocs/op
Benchmark/10000-4            	      34	  32094278 ns/op	16007743 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32122866 ns/op	16007329 B/op	 1000000 allocs/op
Benchmark/10000-4            	      34	  32014880 ns/op	16007743 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  31966544 ns/op	16007326 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32156384 ns/op	16007329 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32266752 ns/op	16007321 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32105755 ns/op	16007302 B/op	 1000000 allocs/op
Benchmark/10000-4            	      34	  32181150 ns/op	16007748 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32184139 ns/op	16007307 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32073599 ns/op	16007307 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 357488464 ns/op	160571176 B/op	10000020 allocs/op
Benchmark/100000-4           	       3	 358879940 ns/op	160571144 B/op	10000020 allocs/op
Benchmark/100000-4           	       3	 354726928 ns/op	160571112 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 357116300 ns/op	160571048 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 356583593 ns/op	160571080 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 355953036 ns/op	160571176 B/op	10000020 allocs/op
Benchmark/100000-4           	       3	 354156110 ns/op	160571048 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 361671044 ns/op	160571144 B/op	10000020 allocs/op
Benchmark/100000-4           	       3	 352151040 ns/op	160571176 B/op	10000020 allocs/op
Benchmark/100000-4           	       3	 356084390 ns/op	160570984 B/op	10000018 allocs/op
