Benchmark/1-4                	  304833	      3839 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  336360	      3471 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  337909	      3469 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  332178	      3461 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  334602	      3505 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  311661	      3467 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  334028	      3470 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  335167	      3458 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  333468	      3475 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  338724	      3465 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   33870	     33151 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   34321	     33261 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   35780	     33414 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   35728	     33346 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   35318	     33187 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   36260	     33223 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   35848	     33093 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   35952	     33177 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   35988	     33137 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   35672	     33669 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/100-4              	    3621	    319442 ns/op	  160019 B/op	   10000 allocs/op
Benchmark/100-4              	    3633	    319031 ns/op	  160018 B/op	   10000 allocs/op
Benchmark/100-4              	    3656	    319854 ns/op	  160018 B/op	   10000 allocs/op
Benchmark/100-4              	    3571	    320576 ns/op	  160019 B/op	   10000 allocs/op
Benchmark/100-4              	    3488	    319322 ns/op	  160019 B/op	   10000 allocs/op
Benchmark/100-4              	    3645	    322525 ns/op	  160018 B/op	   10000 allocs/op
Benchmark/100-4              	    3586	    323803 ns/op	  160019 B/op	   10000 allocs/op
Benchmark/100-4              	    3462	    318562 ns/op	  160019 B/op	   10000 allocs/op
Benchmark/100-4              	    3559	    323071 ns/op	  160019 B/op	   10000 allocs/op
Benchmark/100-4              	    3409	    320186 ns/op	  160020 B/op	   10000 allocs/op
Benchmark/1000-4             	     372	   3194373 ns/op	 1600182 B/op	  100000 allocs/op
Benchmark/1000-4             	     374	   3198922 ns/op	 1600183 B/op	  100000 allocs/op
Benchmark/1000-4             	     375	   3186715 ns/op	 1600181 B/op	  100000 allocs/op
Benchmark/1000-4             	     378	   3214083 ns/op	 1600181 B/op	  100000 allocs/op
Benchmark/1000-4             	     363	   3219112 ns/op	 1600189 B/op	  100000 allocs/op
Benchmark/1000-4             	     372	   3180317 ns/op	 1600184 B/op	  100000 allocs/op
Benchmark/1000-4             	     376	   3174092 ns/op	 1600184 B/op	  100000 allocs/op
Benchmark/1000-4             	     356	   3191779 ns/op	 1600193 B/op	  100000 allocs/op
Benchmark/1000-4             	     375	   3181980 ns/op	 1600183 B/op	  100000 allocs/op
Benchmark/1000-4             	     372	   3195640 ns/op	 1600185 B/op	  100000 allocs/op
Benchmark/10000-4            	      34	  32831130 ns/op	16005835 B/op	 1000000 allocs/op
Benchmark/10000-4            	      33	  32583305 ns/op	16005997 B/op	 1000000 allocs/op
Benchmark/10000-4            	      32	  32806105 ns/op	16006179 B/op	 1000000 allocs/op
Benchmark/10000-4            	      34	  32498776 ns/op	16005824 B/op	 1000000 allocs/op
Benchmark/10000-4            	      34	  35920632 ns/op	16005827 B/op	 1000000 allocs/op
Benchmark/10000-4            	      32	  32850934 ns/op	16006170 B/op	 1000000 allocs/op
Benchmark/10000-4            	      33	  32805138 ns/op	16005992 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32785802 ns/op	16005471 B/op	 1000000 allocs/op
Benchmark/10000-4            	      34	  32774596 ns/op	16005835 B/op	 1000000 allocs/op
Benchmark/10000-4            	      36	  32408944 ns/op	16005492 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 365743959 ns/op	160549021 B/op	10000018 allocs/op
Benchmark/100000-4           	       3	 370641830 ns/op	160549149 B/op	10000020 allocs/op
Benchmark/100000-4           	       3	 363549252 ns/op	160549085 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 367014437 ns/op	160549085 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 362153321 ns/op	160549149 B/op	10000020 allocs/op
Benchmark/100000-4           	       3	 366678571 ns/op	160549053 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 364374415 ns/op	160549117 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 369456442 ns/op	160549117 B/op	10000019 allocs/op
Benchmark/100000-4           	       3	 364302868 ns/op	160549245 B/op	10000021 allocs/op
Benchmark/100000-4           	       3	 364170208 ns/op	160548989 B/op	10000018 allocs/op
