Benchmark/1-4                	  325303	      3609 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  321301	      3603 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  318237	      3616 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  321190	      3611 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  324816	      3620 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  319582	      3606 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  302714	      3604 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  323430	      3618 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  312452	      3603 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  325466	      3611 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   32923	     34944 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   32959	     34772 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   32012	     34920 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   33207	     34886 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   33165	     34839 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   32935	     35076 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   31879	     34755 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   33453	     34859 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   33294	     34884 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   33040	     36428 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3525	    355639 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3466	    339760 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3445	    346496 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3360	    340306 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3439	    350600 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3428	    347638 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3439	    350430 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3255	    337444 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3549	    353483 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/100-4              	    3366	    334641 ns/op	  160003 B/op	   10000 allocs/op
Benchmark/1000-4             	     360	   3460487 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     321	   3335706 ns/op	 1600074 B/op	  100000 allocs/op
Benchmark/1000-4             	     360	   3435647 ns/op	 1600066 B/op	  100000 allocs/op
Benchmark/1000-4             	     346	   3312481 ns/op	 1600071 B/op	  100000 allocs/op
Benchmark/1000-4             	     361	   3408344 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     344	   3309748 ns/op	 1600069 B/op	  100000 allocs/op
Benchmark/1000-4             	     361	   3419203 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     354	   3369349 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     363	   3419858 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     346	   3323862 ns/op	 1600069 B/op	  100000 allocs/op
Benchmark/10000-4            	      32	  38257493 ns/op	30116804 B/op	 1006814 allocs/op
Benchmark/10000-4            	      31	  38387209 ns/op	30116876 B/op	 1006814 allocs/op
Benchmark/10000-4            	      30	  38131939 ns/op	30116825 B/op	 1006814 allocs/op
Benchmark/10000-4            	      31	  40210675 ns/op	30116885 B/op	 1006814 allocs/op
Benchmark/10000-4            	      31	  36672772 ns/op	30116867 B/op	 1006814 allocs/op
Benchmark/10000-4            	      32	  37281336 ns/op	30116828 B/op	 1006814 allocs/op
Benchmark/10000-4            	      30	  36758190 ns/op	30116815 B/op	 1006814 allocs/op
Benchmark/10000-4            	      32	  36632196 ns/op	30116789 B/op	 1006814 allocs/op
Benchmark/10000-4            	      31	  36538874 ns/op	30116904 B/op	 1006814 allocs/op
Benchmark/10000-4            	      31	  36678405 ns/op	30116885 B/op	 1006814 allocs/op
Benchmark/100000-4           	       3	 388201876 ns/op	319816026 B/op	10077140 allocs/op
Benchmark/100000-4           	       3	 380042704 ns/op	319816090 B/op	10077141 allocs/op
Benchmark/100000-4           	       3	 386441237 ns/op	319816378 B/op	10077144 allocs/op
Benchmark/100000-4           	       2	 545207992 ns/op	319822952 B/op	10077142 allocs/op
Benchmark/100000-4           	       3	 416134263 ns/op	319816442 B/op	10077145 allocs/op
Benchmark/100000-4           	       3	 386367523 ns/op	319815834 B/op	10077138 allocs/op
Benchmark/100000-4           	       3	 378230049 ns/op	319816218 B/op	10077142 allocs/op
Benchmark/100000-4           	       3	 386815189 ns/op	319816314 B/op	10077143 allocs/op
Benchmark/100000-4           	       3	 379078128 ns/op	319816506 B/op	10077145 allocs/op
Benchmark/100000-4           	       3	 386818487 ns/op	319816314 B/op	10077143 allocs/op
