Benchmark/1-4                	  305941	      3910 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  302646	      3689 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  305701	      3658 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300810	      3684 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  305793	      3664 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  307002	      3682 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  299770	      3624 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  305349	      3668 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  307557	      3675 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  303304	      3634 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   34424	     33891 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34923	     34040 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   35022	     34429 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34176	     34049 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34762	     34105 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34747	     34270 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   35055	     34062 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   33854	     35300 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34870	     34243 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   35098	     33942 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3508	    335043 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3399	    330940 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3412	    335911 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3361	    338854 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3458	    335034 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3171	    334334 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3367	    339483 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3392	    335117 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3380	    352366 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3363	    333919 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     367	   3278529 ns/op	 1600028 B/op	  100000 allocs/op
Benchmark/1000-4             	     367	   3271717 ns/op	 1600029 B/op	  100000 allocs/op
Benchmark/1000-4             	     368	   3262210 ns/op	 1600030 B/op	  100000 allocs/op
Benchmark/1000-4             	     366	   3286228 ns/op	 1600028 B/op	  100000 allocs/op
Benchmark/1000-4             	     366	   3284028 ns/op	 1600028 B/op	  100000 allocs/op
Benchmark/1000-4             	     352	   3362806 ns/op	 1600031 B/op	  100000 allocs/op
Benchmark/1000-4             	     356	   3439896 ns/op	 1600031 B/op	  100000 allocs/op
Benchmark/1000-4             	     348	   3413972 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     346	   3457948 ns/op	 1600033 B/op	  100000 allocs/op
Benchmark/1000-4             	     350	   3421912 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/10000-4            	      30	  36303998 ns/op	23126829 B/op	 1006801 allocs/op
Benchmark/10000-4            	      31	  36038414 ns/op	23126797 B/op	 1006800 allocs/op
Benchmark/10000-4            	      31	  36397786 ns/op	23126812 B/op	 1006801 allocs/op
Benchmark/10000-4            	      31	  36295314 ns/op	23126837 B/op	 1006801 allocs/op
Benchmark/10000-4            	      32	  35750587 ns/op	23126797 B/op	 1006800 allocs/op
Benchmark/10000-4            	      32	  38611069 ns/op	23126824 B/op	 1006801 allocs/op
Benchmark/10000-4            	      31	  35946259 ns/op	23126831 B/op	 1006801 allocs/op
Benchmark/10000-4            	      31	  35883824 ns/op	23126809 B/op	 1006800 allocs/op
Benchmark/10000-4            	      31	  35728017 ns/op	23126822 B/op	 1006801 allocs/op
Benchmark/10000-4            	      32	  35893706 ns/op	23126803 B/op	 1006801 allocs/op
Benchmark/100000-4           	       3	 398954957 ns/op	240909930 B/op	10077211 allocs/op
Benchmark/100000-4           	       3	 402318839 ns/op	240910442 B/op	10077216 allocs/op
Benchmark/100000-4           	       3	 400557843 ns/op	240910090 B/op	10077212 allocs/op
Benchmark/100000-4           	       3	 398779371 ns/op	240909962 B/op	10077211 allocs/op
Benchmark/100000-4           	       3	 399232568 ns/op	240910186 B/op	10077213 allocs/op
Benchmark/100000-4           	       3	 401319803 ns/op	240909994 B/op	10077211 allocs/op
Benchmark/100000-4           	       3	 401750374 ns/op	240909930 B/op	10077211 allocs/op
Benchmark/100000-4           	       3	 395931369 ns/op	240909706 B/op	10077208 allocs/op
Benchmark/100000-4           	       3	 401688133 ns/op	240910250 B/op	10077214 allocs/op
Benchmark/100000-4           	       3	 398814255 ns/op	240910154 B/op	10077213 allocs/op
