Benchmark/1-4                	  300000	      4084 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3870 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4218 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4016 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3601 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3994 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3984 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3581 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3965 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3771 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     35699 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     37722 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34709 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     39564 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34369 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     39303 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34870 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     37398 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36333 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35565 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    385563 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    339491 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    363234 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    369267 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    338681 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    377717 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    400744 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    359629 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    399382 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    382240 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3803398 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3413228 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3599431 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3623245 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3421637 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3767799 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3379254 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3741831 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3757372 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3634948 ns/op	 1600036 B/op	  100000 allocs/op
Benchmark/10000-4            	      30	  42818092 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  42912766 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  43994793 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  44132879 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  43329939 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  40207966 ns/op	30090342 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  39217497 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  42964622 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      30	  40174475 ns/op	30090339 B/op	 1006800 allocs/op
Benchmark/10000-4            	      50	  40576060 ns/op	30090043 B/op	 1006800 allocs/op
Benchmark/100000-4           	       3	 410388950 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 436606871 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 398903892 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 454388126 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 404292392 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 458043891 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 430596440 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 481026583 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       3	 458960108 ns/op	319965792 B/op	10077205 allocs/op
Benchmark/100000-4           	       2	 508432151 ns/op	319969488 B/op	10077207 allocs/op
