Benchmark/1-4            	  344173	      3255 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  356737	      3263 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  353776	      3241 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  353042	      3239 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  356535	      3249 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  352904	      3255 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  352202	      3302 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  352416	      3232 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  355490	      3231 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  349513	      3259 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   36975	     32451 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36908	     32457 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36960	     32746 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36940	     32307 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36999	     32385 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36770	     33079 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36882	     32463 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   30615	     33287 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   37003	     32502 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36750	     32370 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3651	    315780 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3640	    315698 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3662	    315831 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3630	    316246 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3681	    317324 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3840	    316595 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3660	    316846 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3712	    319086 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3637	    316649 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3693	    319960 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     379	   3169579 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     375	   3159415 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     380	   3160852 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     379	   3150804 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     379	   3172273 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     375	   3158699 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     379	   3158759 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     379	   3152078 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     378	   3165038 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     378	   3156819 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/10000-4        	      34	  32573300 ns/op	16000033 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  32705469 ns/op	16000036 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  32659963 ns/op	16000028 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  32919996 ns/op	16000018 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  32648841 ns/op	16000039 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  32566283 ns/op	16000036 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  32622458 ns/op	16000034 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  32608081 ns/op	16000019 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  32543947 ns/op	16000037 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  32567188 ns/op	16000045 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 347975540 ns/op	160000032 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 353318838 ns/op	160000096 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 352543234 ns/op	160000096 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 350960320 ns/op	160000224 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 350369658 ns/op	160000128 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 349228200 ns/op	160000160 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 354485373 ns/op	160000160 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 356784139 ns/op	160000192 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 349852391 ns/op	160000256 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 347839527 ns/op	160000128 B/op	10000001 allocs/op
