Benchmark/1-4            	  348748	      3300 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  357577	      3297 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  351835	      3266 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  352610	      3274 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  347474	      3281 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  351940	      3269 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  349302	      3271 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  359416	      3276 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  354747	      3306 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  354657	      3338 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   36654	     32841 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36332	     32770 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36739	     32609 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36801	     32566 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36778	     32716 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36766	     32511 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36708	     32584 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36777	     33658 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36807	     32585 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   36451	     32571 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3516	    319994 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3564	    320680 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3603	    319766 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3603	    322349 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3625	    320002 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3595	    319770 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3676	    319796 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3667	    319418 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3589	    319664 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3550	    320861 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     372	   3181612 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     364	   3177920 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     375	   3175875 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     376	   3182171 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     375	   3175448 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     369	   3187882 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     374	   3192102 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     372	   3177841 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     378	   3176473 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     379	   3191647 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/10000-4        	      34	  32109721 ns/op	16000056 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  34964340 ns/op	16000040 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  31965931 ns/op	16000053 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  31705706 ns/op	16000037 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  32002182 ns/op	16000050 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  31805302 ns/op	16000034 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  31977949 ns/op	16000033 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  31932726 ns/op	16000026 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  32024944 ns/op	16000037 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  31889028 ns/op	16000045 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 352817802 ns/op	160000192 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 520799256 ns/op	160000288 B/op	10000003 allocs/op
Benchmark/100000-4       	       3	 355053854 ns/op	160000192 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 356360133 ns/op	160000064 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 355140952 ns/op	160000096 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 352532513 ns/op	160000128 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 362020262 ns/op	160000192 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 353653421 ns/op	160000160 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 358021454 ns/op	160000256 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 361499180 ns/op	160000064 B/op	10000000 allocs/op
