Benchmark/1-4            	  325893	      3543 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  319536	      3593 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  326067	      3513 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  322651	      3511 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  332602	      3501 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  328113	      3507 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  319964	      3572 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  322706	      3535 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  320530	      3530 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  328786	      3478 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   35511	     34036 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34976	     34306 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35205	     33998 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35083	     34140 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35256	     34158 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35425	     33860 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35635	     33764 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35287	     34324 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   33938	     35379 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35311	     33666 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3429	    332896 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3433	    359292 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3166	    337000 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3296	    331952 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3517	    330967 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3282	    332634 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3474	    329347 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3464	    329808 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3427	    332736 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3450	    333671 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     364	   3292979 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     358	   3298943 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     367	   3273230 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     364	   3330407 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     366	   3290087 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     362	   3280805 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     367	   3282880 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/1000-4         	     362	   3307512 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/1000-4         	     367	   3274692 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3289743 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/10000-4        	      31	  35320533 ns/op	23139566 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  35102624 ns/op	23139536 B/op	 1006812 allocs/op
Benchmark/10000-4        	      32	  35517199 ns/op	23139548 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  35348488 ns/op	23139539 B/op	 1006812 allocs/op
Benchmark/10000-4        	      32	  35235020 ns/op	23139539 B/op	 1006812 allocs/op
Benchmark/10000-4        	      32	  35337715 ns/op	23139551 B/op	 1006813 allocs/op
Benchmark/10000-4        	      31	  35170945 ns/op	23139501 B/op	 1006813 allocs/op
Benchmark/10000-4        	      31	  35344599 ns/op	23139508 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  35324666 ns/op	23139536 B/op	 1006812 allocs/op
Benchmark/10000-4        	      32	  35221792 ns/op	23139539 B/op	 1006812 allocs/op
Benchmark/100000-4       	       3	 387924748 ns/op	240827701 B/op	10077129 allocs/op
Benchmark/100000-4       	       3	 387334198 ns/op	240828085 B/op	10077133 allocs/op
Benchmark/100000-4       	       3	 388476139 ns/op	240828117 B/op	10077133 allocs/op
Benchmark/100000-4       	       3	 390926090 ns/op	240828149 B/op	10077133 allocs/op
Benchmark/100000-4       	       3	 390342882 ns/op	240827925 B/op	10077131 allocs/op
Benchmark/100000-4       	       3	 387563135 ns/op	240827829 B/op	10077130 allocs/op
Benchmark/100000-4       	       3	 385636186 ns/op	240827861 B/op	10077130 allocs/op
Benchmark/100000-4       	       3	 387692307 ns/op	240828277 B/op	10077135 allocs/op
Benchmark/100000-4       	       3	 385771950 ns/op	240827797 B/op	10077130 allocs/op
Benchmark/100000-4       	       3	 387802858 ns/op	240828181 B/op	10077134 allocs/op
