Benchmark/1-4            	  349497	      3432 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  347727	      3413 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  348609	      3406 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  333001	      3427 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  350672	      3416 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  349964	      3415 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  338820	      3409 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  350739	      3406 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  347826	      3408 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  350583	      3410 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   35347	     34317 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35325	     34362 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35288	     34241 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35019	     34119 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35100	     34064 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35078	     34094 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35182	     34140 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34981	     34113 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35107	     34143 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35217	     33962 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3448	    333498 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3555	    333380 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3594	    332656 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3573	    332138 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3562	    333026 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3577	    336686 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3615	    335653 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3559	    335080 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3571	    333079 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3560	    336826 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     356	   3361771 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     358	   3417147 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     358	   3339974 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     357	   3321721 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     358	   3321104 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     355	   3319276 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3314105 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     360	   3328056 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3334372 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3343719 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/10000-4        	      32	  36928498 ns/op	30115644 B/op	 1006814 allocs/op
Benchmark/10000-4        	      32	  36901726 ns/op	30115599 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  37529038 ns/op	30115575 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  37021461 ns/op	30115590 B/op	 1006813 allocs/op
Benchmark/10000-4        	      30	  36864209 ns/op	30115639 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  36848672 ns/op	30115566 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  36978664 ns/op	30115590 B/op	 1006813 allocs/op
Benchmark/10000-4        	      32	  36947989 ns/op	30115608 B/op	 1006813 allocs/op
Benchmark/10000-4        	      31	  36841841 ns/op	30115613 B/op	 1006813 allocs/op
Benchmark/10000-4        	      31	  37045494 ns/op	30115623 B/op	 1006813 allocs/op
Benchmark/100000-4       	       3	 374698489 ns/op	319804554 B/op	10077134 allocs/op
Benchmark/100000-4       	       3	 375614901 ns/op	319804874 B/op	10077137 allocs/op
Benchmark/100000-4       	       3	 375612523 ns/op	319804906 B/op	10077138 allocs/op
Benchmark/100000-4       	       3	 375834700 ns/op	319804778 B/op	10077136 allocs/op
Benchmark/100000-4       	       3	 375953387 ns/op	319804458 B/op	10077133 allocs/op
Benchmark/100000-4       	       3	 391675395 ns/op	319804778 B/op	10077136 allocs/op
Benchmark/100000-4       	       3	 382418101 ns/op	319804746 B/op	10077136 allocs/op
Benchmark/100000-4       	       3	 377274179 ns/op	319804874 B/op	10077137 allocs/op
Benchmark/100000-4       	       3	 376463679 ns/op	319804714 B/op	10077136 allocs/op
Benchmark/100000-4       	       3	 375682976 ns/op	319804714 B/op	10077136 allocs/op
