Benchmark/1-4            	  353454	      3377 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  353602	      3382 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  355386	      3386 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  354717	      3391 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  349404	      3409 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  354289	      3408 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  353149	      3386 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  346326	      3397 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  353496	      3394 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  312060	      3420 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   35920	     33520 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35871	     33497 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35973	     33692 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35649	     33630 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35871	     33429 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35823	     33666 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35853	     33315 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35814	     33495 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35649	     33405 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   35860	     33480 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3531	    335291 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3589	    331229 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3612	    359824 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3610	    330828 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3478	    332168 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3614	    332974 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3609	    358289 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3591	    331591 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3454	    331224 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3636	    330236 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     360	   3351240 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     352	   3321230 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     362	   3287003 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     360	   4186771 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3315378 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     357	   3318905 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     363	   3293952 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3313032 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3312545 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     361	   3315468 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/10000-4        	      31	  36531288 ns/op	30089696 B/op	 1006801 allocs/op
Benchmark/10000-4        	      32	  36751080 ns/op	30089681 B/op	 1006800 allocs/op
Benchmark/10000-4        	      32	  37810782 ns/op	30089705 B/op	 1006801 allocs/op
Benchmark/10000-4        	      32	  36558498 ns/op	30089714 B/op	 1006801 allocs/op
Benchmark/10000-4        	      32	  36576412 ns/op	30089714 B/op	 1006801 allocs/op
Benchmark/10000-4        	      32	  36495071 ns/op	30089681 B/op	 1006800 allocs/op
Benchmark/10000-4        	      32	  36624207 ns/op	30089693 B/op	 1006800 allocs/op
Benchmark/10000-4        	      32	  36628348 ns/op	30089702 B/op	 1006801 allocs/op
Benchmark/10000-4        	      32	  36407993 ns/op	30089666 B/op	 1006800 allocs/op
Benchmark/10000-4        	      32	  37059032 ns/op	30089690 B/op	 1006800 allocs/op
Benchmark/100000-4       	       3	 370751945 ns/op	319959392 B/op	10077210 allocs/op
Benchmark/100000-4       	       3	 371682430 ns/op	319959328 B/op	10077209 allocs/op
Benchmark/100000-4       	       3	 370733512 ns/op	319959488 B/op	10077211 allocs/op
Benchmark/100000-4       	       3	 370702182 ns/op	319958880 B/op	10077205 allocs/op
Benchmark/100000-4       	       3	 370727076 ns/op	319959712 B/op	10077213 allocs/op
Benchmark/100000-4       	       3	 371852887 ns/op	319959360 B/op	10077210 allocs/op
Benchmark/100000-4       	       3	 371184042 ns/op	319959360 B/op	10077210 allocs/op
Benchmark/100000-4       	       3	 371496380 ns/op	319959392 B/op	10077210 allocs/op
Benchmark/100000-4       	       3	 379441976 ns/op	319959680 B/op	10077213 allocs/op
Benchmark/100000-4       	       3	 370093092 ns/op	319959424 B/op	10077210 allocs/op
