Benchmark/1-4            	  319465	      3569 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  325972	      3565 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  319194	      3532 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  327872	      3543 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  325093	      3570 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  324801	      3559 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  327513	      3552 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  325719	      3551 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  326996	      3551 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  324856	      3554 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   34062	     35207 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34299	     35168 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   33981	     35073 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   33961	     35320 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   33944	     35321 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34231	     35491 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34438	     35122 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   33148	     35348 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34243	     35378 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   33852	     35322 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3387	    347316 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3301	    366140 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    2934	    375014 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3225	    348741 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3369	    342440 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3373	    343330 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3410	    344673 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3312	    342610 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3396	    368546 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3331	    345045 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     349	   3453382 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     348	   3422583 ns/op	 1600009 B/op	  100000 allocs/op
Benchmark/1000-4         	     349	   3411665 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     351	   3438843 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     350	   3442259 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     349	   3426619 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     351	   3410289 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     345	   3440920 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     346	   3461207 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     340	   3473251 ns/op	 1600009 B/op	  100000 allocs/op
Benchmark/10000-4        	      31	  34950592 ns/op	16000055 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34586154 ns/op	16000046 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34611705 ns/op	16000058 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34417142 ns/op	16000045 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34534370 ns/op	16000037 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34571838 ns/op	16000023 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  34307154 ns/op	16000053 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34478936 ns/op	16000032 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34405446 ns/op	16000046 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34395573 ns/op	16000046 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 572725126 ns/op	631859248 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 582430212 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 584018642 ns/op	631859680 B/op	10000405 allocs/op
Benchmark/100000-4       	       2	 576923698 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 575094768 ns/op	631859536 B/op	10000403 allocs/op
Benchmark/100000-4       	       2	 572081364 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 574283376 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 582297356 ns/op	631859392 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 586675866 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 586150992 ns/op	631859392 B/op	10000402 allocs/op
