Benchmark/1-4            	  329041	      3462 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  332791	      3466 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  335660	      3485 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  332721	      3477 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  334040	      3859 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  315249	      3450 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  332514	      3456 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  336573	      3513 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  329570	      3471 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  335924	      3790 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   32490	     34621 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34605	     34864 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34412	     34743 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34693	     34854 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34632	     34704 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34468	     34946 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34068	     34749 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34558	     34902 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34396	     34759 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34437	     35183 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3435	    337903 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3417	    337749 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3380	    336947 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3380	    339045 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3405	    338874 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3499	    340519 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3440	    341087 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3368	    363020 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3276	    365899 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3375	    341009 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     351	   3395472 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     354	   3391947 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     358	   3370384 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     355	   3367285 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     355	   3388027 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     354	   3411798 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     357	   3365975 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     358	   3361839 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     352	   3400260 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     354	   3400491 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/10000-4        	      32	  34345142 ns/op	16000069 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34534022 ns/op	16000024 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  37394758 ns/op	16000037 B/op	 1000000 allocs/op
Benchmark/10000-4        	      31	  34589381 ns/op	16000052 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34355282 ns/op	16000057 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  34147474 ns/op	16000059 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34424275 ns/op	16000057 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34123428 ns/op	16000046 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34551712 ns/op	16000051 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34472803 ns/op	16000052 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 571103476 ns/op	631859680 B/op	10000405 allocs/op
Benchmark/100000-4       	       2	 568847823 ns/op	631859536 B/op	10000403 allocs/op
Benchmark/100000-4       	       2	 613891538 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 563009672 ns/op	631859296 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 579491448 ns/op	631859248 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 566023784 ns/op	631859296 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 563371656 ns/op	631859584 B/op	10000404 allocs/op
Benchmark/100000-4       	       2	 570297790 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 572748082 ns/op	631859248 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 561026138 ns/op	631859440 B/op	10000402 allocs/op
