Benchmark/1-4            	  135918	      8708 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  135304	      8708 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  136014	      8668 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  135320	      8688 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  137614	      8644 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  136761	      8656 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  136796	      8985 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  130590	      9573 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  128121	      8742 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  136028	      8799 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   13113	     90139 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13615	     85761 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13812	     85586 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13868	     86001 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13796	     85576 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13868	     86297 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13962	     85700 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13814	     85245 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   13783	     87648 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12556	     85985 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    1406	    834954 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1420	    843067 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1395	    837911 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1400	    844313 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1406	    842772 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1408	    841875 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1410	    874147 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1386	    868240 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1416	    841308 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1400	    839569 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     140	   8381845 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     141	   8378169 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     141	   8352010 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     141	   8400470 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     141	   8365999 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     141	   8338701 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     141	   8306299 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     140	   8321462 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     139	   8672227 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     140	   8323172 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/10000-4        	      13	  86686881 ns/op	22526400 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  86787215 ns/op	22526440 B/op	 1011800 allocs/op
Benchmark/10000-4        	      13	  90804396 ns/op	22526444 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  89358260 ns/op	22526448 B/op	 1011800 allocs/op
Benchmark/10000-4        	      13	  87266673 ns/op	22526422 B/op	 1011800 allocs/op
Benchmark/10000-4        	      13	  88030647 ns/op	22526429 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  87436732 ns/op	22526448 B/op	 1011800 allocs/op
Benchmark/10000-4        	      13	  87180735 ns/op	22526451 B/op	 1011800 allocs/op
Benchmark/10000-4        	      13	  87762889 ns/op	22526429 B/op	 1011800 allocs/op
Benchmark/10000-4        	      13	  88152654 ns/op	22526422 B/op	 1011800 allocs/op
Benchmark/100000-4       	       2	 895616174 ns/op	245942432 B/op	10154854 allocs/op
Benchmark/100000-4       	       2	 896204734 ns/op	245942768 B/op	10154858 allocs/op
Benchmark/100000-4       	       2	 897517364 ns/op	245942672 B/op	10154857 allocs/op
Benchmark/100000-4       	       2	 897016996 ns/op	245942528 B/op	10154855 allocs/op
Benchmark/100000-4       	       2	 898057798 ns/op	245942672 B/op	10154857 allocs/op
Benchmark/100000-4       	       2	 897990093 ns/op	245942816 B/op	10154858 allocs/op
Benchmark/100000-4       	       2	 893088130 ns/op	245942576 B/op	10154856 allocs/op
Benchmark/100000-4       	       2	 893315091 ns/op	245942528 B/op	10154855 allocs/op
Benchmark/100000-4       	       2	 896531282 ns/op	245942384 B/op	10154854 allocs/op
Benchmark/100000-4       	       2	 917242742 ns/op	245942672 B/op	10154857 allocs/op
