Benchmark/1-4            	  118052	      9879 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  118729	      9918 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  117150	      9931 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  118695	      9919 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  119275	      9910 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  120373	      9957 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  115009	      9887 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  118572	      9952 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  119030	      9856 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  120194	      9862 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   12366	     96123 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12344	     97040 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12229	     96548 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12294	     96318 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12350	     96590 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	    9717	    105773 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12204	     97154 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12219	     96664 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12058	     98907 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   12332	     95997 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    1233	    948516 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1249	    953326 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1230	    953527 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1248	    955195 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1227	    962039 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1239	    950642 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1237	    953692 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1250	    981865 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1215	    965120 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    1238	    950471 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     124	   9471521 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     124	   9432643 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     124	   9500139 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     124	   9493321 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     122	   9793769 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     124	   9525838 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     124	   9511026 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     124	   9447339 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/1000-4         	     126	   9484408 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     126	   9483919 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/10000-4        	      12	  99424132 ns/op	22526432 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  97828336 ns/op	22526432 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  98220605 ns/op	22526416 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  97594340 ns/op	22526456 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  98199459 ns/op	22526456 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  98938554 ns/op	22526432 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  98324093 ns/op	22526456 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  98341668 ns/op	22526424 B/op	 1011800 allocs/op
Benchmark/10000-4        	      12	  98773671 ns/op	22526464 B/op	 1011800 allocs/op
Benchmark/10000-4        	      10	 105722750 ns/op	22526515 B/op	 1011801 allocs/op
Benchmark/100000-4       	       1	1020446625 ns/op	245913776 B/op	10154800 allocs/op
Benchmark/100000-4       	       1	1018749679 ns/op	245915584 B/op	10154804 allocs/op
Benchmark/100000-4       	       1	1020243092 ns/op	245915488 B/op	10154803 allocs/op
Benchmark/100000-4       	       1	1022189703 ns/op	245916160 B/op	10154810 allocs/op
Benchmark/100000-4       	       1	1021267604 ns/op	245916160 B/op	10154810 allocs/op
Benchmark/100000-4       	       1	1021114123 ns/op	245916064 B/op	10154809 allocs/op
Benchmark/100000-4       	       1	1015812284 ns/op	245915680 B/op	10154805 allocs/op
Benchmark/100000-4       	       1	1016605103 ns/op	245916064 B/op	10154809 allocs/op
Benchmark/100000-4       	       1	1020237525 ns/op	245916448 B/op	10154813 allocs/op
Benchmark/100000-4       	       1	1024356803 ns/op	245915680 B/op	10154805 allocs/op
