Benchmark/1-4            	  301611	      3750 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  305070	      3737 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  307257	      3749 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  303530	      3756 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  305782	      3761 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  305473	      3743 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  309250	      3735 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  305469	      3733 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  307634	      3744 ns/op	    3225 B/op	     101 allocs/op
Benchmark/1-4            	  309722	      3750 ns/op	    3225 B/op	     101 allocs/op
Benchmark/10-4           	   32258	     37265 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   32092	     37289 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   32090	     37729 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   32269	     37292 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   32398	     37298 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   32320	     37255 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   32223	     37244 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   32022	     37307 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   31958	     39114 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/10-4           	   30848	     39145 ns/op	   32250 B/op	    1015 allocs/op
Benchmark/100-4          	    2788	    366426 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3164	    365064 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    2985	    406006 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3147	    364861 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3088	    366092 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3049	    364804 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3102	    366244 ns/op	  322501 B/op	   10156 allocs/op
Benchmark/100-4          	    3045	    365470 ns/op	  322501 B/op	   10156 allocs/op
Benchmark/100-4          	    3147	    364807 ns/op	  322500 B/op	   10156 allocs/op
Benchmark/100-4          	    3145	    364741 ns/op	  322501 B/op	   10156 allocs/op
Benchmark/1000-4         	     328	   3643996 ns/op	 3225009 B/op	  101562 allocs/op
Benchmark/1000-4         	     331	   3619164 ns/op	 3225014 B/op	  101562 allocs/op
Benchmark/1000-4         	     331	   3625073 ns/op	 3225013 B/op	  101562 allocs/op
Benchmark/1000-4         	     332	   3690370 ns/op	 3225009 B/op	  101562 allocs/op
Benchmark/1000-4         	     331	   3629791 ns/op	 3225012 B/op	  101562 allocs/op
Benchmark/1000-4         	     333	   3636756 ns/op	 3225015 B/op	  101562 allocs/op
Benchmark/1000-4         	     331	   3634867 ns/op	 3225012 B/op	  101562 allocs/op
Benchmark/1000-4         	     328	   3636448 ns/op	 3225012 B/op	  101562 allocs/op
Benchmark/1000-4         	     330	   3641453 ns/op	 3225013 B/op	  101562 allocs/op
Benchmark/1000-4         	     328	   3625423 ns/op	 3225010 B/op	  101562 allocs/op
Benchmark/10000-4        	      30	  36365861 ns/op	32250118 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36259380 ns/op	32250068 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36547664 ns/op	32250099 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36404287 ns/op	32250046 B/op	 1015625 allocs/op
Benchmark/10000-4        	      31	  36459548 ns/op	32250081 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36419897 ns/op	32250090 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36375765 ns/op	32250087 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36475890 ns/op	32250084 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36459685 ns/op	32250093 B/op	 1015626 allocs/op
Benchmark/10000-4        	      31	  36640253 ns/op	32250065 B/op	 1015626 allocs/op
Benchmark/100000-4       	       3	 368497272 ns/op	322501120 B/op	10156261 allocs/op
Benchmark/100000-4       	       3	 369111806 ns/op	322501152 B/op	10156262 allocs/op
Benchmark/100000-4       	       3	 370073482 ns/op	322500896 B/op	10156259 allocs/op
Benchmark/100000-4       	       3	 370915100 ns/op	322501248 B/op	10156263 allocs/op
Benchmark/100000-4       	       3	 367596906 ns/op	322500928 B/op	10156259 allocs/op
Benchmark/100000-4       	       3	 366994326 ns/op	322500992 B/op	10156260 allocs/op
Benchmark/100000-4       	       3	 367213445 ns/op	322501088 B/op	10156261 allocs/op
Benchmark/100000-4       	       3	 370582843 ns/op	322500864 B/op	10156259 allocs/op
Benchmark/100000-4       	       3	 368941376 ns/op	322500928 B/op	10156259 allocs/op
Benchmark/100000-4       	       3	 369261243 ns/op	322500960 B/op	10156260 allocs/op
