Benchmark/1-4            	  136002	      8227 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  144321	      8254 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  142758	      8206 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  141445	      8233 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  144337	      8250 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  142542	      8780 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  128869	      8473 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  141570	      8220 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  137888	      8274 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  143611	      8263 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4           	   12822	     93647 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12716	     94029 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12661	     92517 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12384	     92766 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12440	     93631 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12837	     90886 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12555	     95299 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12706	     94675 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12686	     92042 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12679	     93725 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4          	    1254	    949080 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1237	    930488 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    1249	    932647 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    1324	    949829 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    1322	    954329 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    1185	    953049 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1155	    939478 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    1258	    931435 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1248	    936854 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1243	    920724 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/1000-4         	     120	   9416032 ns/op	 6400007 B/op	  200000 allocs/op
Benchmark/1000-4         	     127	   9659337 ns/op	 6400005 B/op	  200000 allocs/op
Benchmark/1000-4         	     124	   9901981 ns/op	 6400005 B/op	  200000 allocs/op
Benchmark/1000-4         	     124	   9466556 ns/op	 6400010 B/op	  200000 allocs/op
Benchmark/1000-4         	     126	   9708511 ns/op	 6400006 B/op	  200000 allocs/op
Benchmark/1000-4         	     124	   9530533 ns/op	 6400006 B/op	  200000 allocs/op
Benchmark/1000-4         	     123	   9492925 ns/op	 6400009 B/op	  200000 allocs/op
Benchmark/1000-4         	     124	   9319955 ns/op	 6400010 B/op	  200000 allocs/op
Benchmark/1000-4         	     123	   9518987 ns/op	 6400012 B/op	  200000 allocs/op
Benchmark/1000-4         	     123	  10417510 ns/op	 6400010 B/op	  200000 allocs/op
Benchmark/10000-4        	      10	 105741529 ns/op	64000086 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 106488409 ns/op	64000076 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 104281892 ns/op	64000105 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 107063333 ns/op	64000105 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 107649294 ns/op	64000067 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 108486001 ns/op	64000076 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 107544254 ns/op	64000124 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 110280854 ns/op	64000096 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 108294523 ns/op	64000115 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 108115454 ns/op	64000076 B/op	 2000000 allocs/op
Benchmark/100000-4       	       1	1360683333 ns/op	640000576 B/op	20000006 allocs/op
Benchmark/100000-4       	       1	1382027168 ns/op	640000768 B/op	20000008 allocs/op
Benchmark/100000-4       	       1	1351305122 ns/op	640000384 B/op	20000004 allocs/op
Benchmark/100000-4       	       1	1380479650 ns/op	640000288 B/op	20000003 allocs/op
Benchmark/100000-4       	       1	1366700314 ns/op	640000576 B/op	20000006 allocs/op
Benchmark/100000-4       	       1	1361799940 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1339221591 ns/op	640000384 B/op	20000004 allocs/op
Benchmark/100000-4       	       1	1356083383 ns/op	640000672 B/op	20000007 allocs/op
Benchmark/100000-4       	       1	1380851266 ns/op	640000480 B/op	20000005 allocs/op
Benchmark/100000-4       	       1	1369131358 ns/op	640000672 B/op	20000007 allocs/op
