Benchmark/1-4            	  118204	     10208 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  125122	      9636 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  122404	      9957 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  108229	      9870 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  112917	      9753 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  126936	     10122 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  118206	      9553 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  121292	      9766 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  119325	      9822 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4            	  110506	      9892 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4           	   12618	     96391 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12127	     97906 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   10000	    100213 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12439	     94949 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12276	     96899 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12349	     97112 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12189	    100003 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   12225	     95256 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   10000	    103523 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4           	   11938	     96604 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4          	    1250	    962214 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1318	    964268 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4          	    1227	    935001 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1293	    954174 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4          	    1339	    948724 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1201	    972930 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1244	    982187 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4          	    1246	    962975 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100-4          	    1208	    933665 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4          	    1294	    978964 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/1000-4         	     124	   9453604 ns/op	 6400012 B/op	  200000 allocs/op
Benchmark/1000-4         	     126	   9467915 ns/op	 6400016 B/op	  200000 allocs/op
Benchmark/1000-4         	     123	   9669164 ns/op	 6400015 B/op	  200000 allocs/op
Benchmark/1000-4         	     126	   9519719 ns/op	 6400012 B/op	  200000 allocs/op
Benchmark/1000-4         	     127	   9329290 ns/op	 6400012 B/op	  200000 allocs/op
Benchmark/1000-4         	     121	   9778526 ns/op	 6400020 B/op	  200000 allocs/op
Benchmark/1000-4         	     126	   9540650 ns/op	 6400018 B/op	  200000 allocs/op
Benchmark/1000-4         	     121	   9568942 ns/op	 6400013 B/op	  200000 allocs/op
Benchmark/1000-4         	     122	   9388572 ns/op	 6400004 B/op	  200000 allocs/op
Benchmark/1000-4         	     124	   9481065 ns/op	 6400013 B/op	  200000 allocs/op
Benchmark/10000-4        	      10	 108244763 ns/op	64000048 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 106701897 ns/op	64000134 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 106955016 ns/op	64000115 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 107984045 ns/op	64000096 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 108118405 ns/op	64000086 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 106507374 ns/op	64000163 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 105627515 ns/op	64000057 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 106882632 ns/op	64000009 B/op	 2000000 allocs/op
Benchmark/10000-4        	      10	 104994882 ns/op	64000172 B/op	 2000001 allocs/op
Benchmark/10000-4        	      10	 106829512 ns/op	64000134 B/op	 2000001 allocs/op
Benchmark/100000-4       	       1	1362314002 ns/op	640000288 B/op	20000003 allocs/op
Benchmark/100000-4       	       1	1306677829 ns/op	640000192 B/op	20000002 allocs/op
Benchmark/100000-4       	       1	1419600605 ns/op	640000576 B/op	20000006 allocs/op
Benchmark/100000-4       	       1	1414879326 ns/op	640000096 B/op	20000001 allocs/op
Benchmark/100000-4       	       1	1373112733 ns/op	640000768 B/op	20000008 allocs/op
Benchmark/100000-4       	       1	1376060308 ns/op	640000288 B/op	20000003 allocs/op
Benchmark/100000-4       	       1	1501181064 ns/op	640000768 B/op	20000008 allocs/op
Benchmark/100000-4       	       1	1420712820 ns/op	640000384 B/op	20000004 allocs/op
Benchmark/100000-4       	       1	1317430484 ns/op	640000576 B/op	20000006 allocs/op
Benchmark/100000-4       	       1	1337474610 ns/op	640000960 B/op	20000010 allocs/op
