Benchmark/1-4            	  322460	      3570 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  329091	      3581 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  321266	      3573 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  331576	      3575 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  326438	      3553 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  328454	      3923 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  305469	      3573 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  324399	      3569 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  327654	      3557 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  325707	      3577 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   34194	     34939 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34095	     35274 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34050	     35291 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34216	     35053 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34314	     35024 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34036	     35299 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34342	     35276 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34129	     34910 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34364	     35330 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34375	     35182 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3404	    342032 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3456	    346366 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3412	    341672 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3417	    343024 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3433	    342352 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3387	    341886 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3376	    343645 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3435	    341663 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3358	    344655 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3415	    341808 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     354	   3410934 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     351	   3408828 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     351	   3391560 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     346	   3408941 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     348	   3436080 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     339	   3426692 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     354	   3406592 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     355	   3427632 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     354	   3405938 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     349	   3440752 ns/op	 1600010 B/op	  100000 allocs/op
Benchmark/10000-4        	      32	  34439523 ns/op	16000048 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34368355 ns/op	16000037 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34270939 ns/op	16000034 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34236368 ns/op	16000043 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34486372 ns/op	16000058 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34253875 ns/op	16000058 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34184370 ns/op	16000052 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34113214 ns/op	16000037 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34394206 ns/op	16000036 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  36880822 ns/op	16000066 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 586078747 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 573488502 ns/op	631859296 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 573589148 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 567923238 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 573635260 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 569077098 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 585108582 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 575486206 ns/op	631859584 B/op	10000404 allocs/op
Benchmark/100000-4       	       2	 577690845 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 570583387 ns/op	631859488 B/op	10000403 allocs/op
