Benchmark/1-4            	  329448	      3492 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  341938	      3456 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  322536	      3479 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  339202	      3471 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  339656	      3473 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  333684	      3461 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  337945	      3463 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  333640	      3491 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  337864	      3548 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  339615	      3480 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   34605	     35020 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   33262	     37012 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34059	     34711 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34629	     34752 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34816	     34622 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34268	     34770 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34161	     35054 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34783	     34628 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34599	     34657 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   34650	     34885 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3366	    342617 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3506	    337507 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3393	    337425 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3408	    338797 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3308	    338017 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3433	    337385 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3036	    338526 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3409	    338331 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3451	    339312 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3465	    338243 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     354	   3436032 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     354	   3578196 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     309	   3400661 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/1000-4         	     355	   3402439 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     352	   3385031 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/1000-4         	     352	   3368066 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/1000-4         	     356	   3370458 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     351	   3393000 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000-4         	     352	   3396254 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/1000-4         	     354	   3362115 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/10000-4        	      33	  34193261 ns/op	16000023 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34207990 ns/op	16000033 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34638920 ns/op	16000040 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34238012 ns/op	16000060 B/op	 1000000 allocs/op
Benchmark/10000-4        	      32	  34270020 ns/op	16000042 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34370880 ns/op	16000029 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34224838 ns/op	16000055 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  39779264 ns/op	16000078 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  34077009 ns/op	16000036 B/op	 1000000 allocs/op
Benchmark/10000-4        	      33	  34361322 ns/op	16000072 B/op	 1000000 allocs/op
Benchmark/100000-4       	       2	 557661655 ns/op	631859296 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 556451088 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 565076017 ns/op	631859344 B/op	10000401 allocs/op
Benchmark/100000-4       	       2	 563306284 ns/op	631859584 B/op	10000404 allocs/op
Benchmark/100000-4       	       2	 570835074 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 564119489 ns/op	631859200 B/op	10000400 allocs/op
Benchmark/100000-4       	       2	 565340996 ns/op	631859440 B/op	10000402 allocs/op
Benchmark/100000-4       	       2	 553999598 ns/op	631859488 B/op	10000403 allocs/op
Benchmark/100000-4       	       2	 612073102 ns/op	631859632 B/op	10000404 allocs/op
Benchmark/100000-4       	       2	 555594690 ns/op	631859344 B/op	10000401 allocs/op
