Benchmark/1-4            	  274840	      4298 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  275426	      4236 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  280538	      4191 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  278445	      4507 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  235788	      4425 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  269638	      4143 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  267433	      4404 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  289040	      4353 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  281988	      4337 ns/op	    4815 B/op	     100 allocs/op
Benchmark/1-4            	  269193	      4788 ns/op	    4815 B/op	     100 allocs/op
Benchmark/10-4           	   29683	     40409 ns/op	   48175 B/op	    1000 allocs/op
Benchmark/10-4           	   29845	     40371 ns/op	   48171 B/op	    1000 allocs/op
Benchmark/10-4           	   29755	     40591 ns/op	   48172 B/op	    1000 allocs/op
Benchmark/10-4           	   29743	     40362 ns/op	   48174 B/op	    1000 allocs/op
Benchmark/10-4           	   29470	     40406 ns/op	   48176 B/op	    1000 allocs/op
Benchmark/10-4           	   29654	     40301 ns/op	   48174 B/op	    1000 allocs/op
Benchmark/10-4           	   29827	     40379 ns/op	   48173 B/op	    1000 allocs/op
Benchmark/10-4           	   29874	     40466 ns/op	   48172 B/op	    1000 allocs/op
Benchmark/10-4           	   29655	     41006 ns/op	   48173 B/op	    1000 allocs/op
Benchmark/10-4           	   29847	     40268 ns/op	   48173 B/op	    1000 allocs/op
Benchmark/100-4          	    2905	    403236 ns/op	  482714 B/op	   10003 allocs/op
Benchmark/100-4          	    2826	    402297 ns/op	  482729 B/op	   10003 allocs/op
Benchmark/100-4          	    2845	    401263 ns/op	  482707 B/op	   10003 allocs/op
Benchmark/100-4          	    2917	    401657 ns/op	  482701 B/op	   10003 allocs/op
Benchmark/100-4          	    2899	    401361 ns/op	  482721 B/op	   10003 allocs/op
Benchmark/100-4          	    2925	    400952 ns/op	  482729 B/op	   10003 allocs/op
Benchmark/100-4          	    2911	    401548 ns/op	  482708 B/op	   10003 allocs/op
Benchmark/100-4          	    2800	    402017 ns/op	  482721 B/op	   10003 allocs/op
Benchmark/100-4          	    2973	    410152 ns/op	  482712 B/op	   10003 allocs/op
Benchmark/100-4          	    2799	    403630 ns/op	  482723 B/op	   10003 allocs/op
Benchmark/1000-4         	     289	   4143320 ns/op	 5149745 B/op	  100033 allocs/op
Benchmark/1000-4         	     291	   4147514 ns/op	 5149869 B/op	  100033 allocs/op
Benchmark/1000-4         	     289	   4158715 ns/op	 5150117 B/op	  100033 allocs/op
Benchmark/1000-4         	     290	   4158298 ns/op	 5149990 B/op	  100033 allocs/op
Benchmark/1000-4         	     289	   4143408 ns/op	 5149747 B/op	  100033 allocs/op
Benchmark/1000-4         	     289	   4154118 ns/op	 5149745 B/op	  100033 allocs/op
Benchmark/1000-4         	     288	   4135405 ns/op	 5149869 B/op	  100033 allocs/op
Benchmark/1000-4         	     290	   4161294 ns/op	 5149991 B/op	  100033 allocs/op
Benchmark/1000-4         	     286	   4160032 ns/op	 5149746 B/op	  100033 allocs/op
Benchmark/1000-4         	     289	   4210448 ns/op	 5149746 B/op	  100033 allocs/op
Benchmark/10000-4        	      24	  44657648 ns/op	51840144 B/op	 1000226 allocs/op
Benchmark/10000-4        	      25	  44638118 ns/op	51840053 B/op	 1000225 allocs/op
Benchmark/10000-4        	      24	  44382417 ns/op	51840076 B/op	 1000225 allocs/op
Benchmark/10000-4        	      25	  44604708 ns/op	51840049 B/op	 1000225 allocs/op
Benchmark/10000-4        	      25	  44403684 ns/op	51840069 B/op	 1000225 allocs/op
Benchmark/10000-4        	      26	  44496844 ns/op	51840077 B/op	 1000225 allocs/op
Benchmark/10000-4        	      26	  44647834 ns/op	51840081 B/op	 1000225 allocs/op
Benchmark/10000-4        	      25	  45018808 ns/op	51840049 B/op	 1000225 allocs/op
Benchmark/10000-4        	      25	  44729984 ns/op	51840069 B/op	 1000225 allocs/op
Benchmark/10000-4        	      25	  44124681 ns/op	51840080 B/op	 1000225 allocs/op
Benchmark/100000-4       	       2	 729070097 ns/op	545028080 B/op	10000782 allocs/op
Benchmark/100000-4       	       2	 765973644 ns/op	545027552 B/op	10000777 allocs/op
Benchmark/100000-4       	       2	 725131409 ns/op	545029760 B/op	10000800 allocs/op
Benchmark/100000-4       	       2	 711362268 ns/op	545029280 B/op	10000795 allocs/op
Benchmark/100000-4       	       2	 715558037 ns/op	545029904 B/op	10000801 allocs/op
Benchmark/100000-4       	       2	 717422894 ns/op	545029856 B/op	10000801 allocs/op
Benchmark/100000-4       	       2	 713262958 ns/op	545029424 B/op	10000796 allocs/op
Benchmark/100000-4       	       2	 711057622 ns/op	545029328 B/op	10000795 allocs/op
Benchmark/100000-4       	       2	 720213324 ns/op	545028944 B/op	10000791 allocs/op
Benchmark/100000-4       	       2	 716111096 ns/op	545029760 B/op	10000800 allocs/op
