Benchmark/1-4            	  369421	      3205 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  371851	      3209 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  355108	      3172 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  362059	      3314 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  369240	      3190 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  362642	      3198 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  367125	      3169 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  355542	      3270 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  365995	      3187 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  369834	      3157 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   39836	     30561 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   38056	     30410 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   39423	     30939 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   38718	     30618 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   39636	     30672 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   39550	     30323 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   38325	     31180 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   39900	     30128 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   39907	     30180 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   39936	     30819 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    3928	    297873 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    4034	    305583 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3859	    303086 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3958	    294376 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    4046	    298286 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3907	    300240 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3547	    296672 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3847	    300338 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3871	    410198 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    3723	    294854 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     402	   3298207 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     402	   2992045 ns/op	 1600009 B/op	  100000 allocs/op
Benchmark/1000-4         	     387	   3021415 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     402	   3019185 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     396	   2969204 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     406	   2997226 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     408	   2955700 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/1000-4         	     408	   2943007 ns/op	 1600008 B/op	  100000 allocs/op
Benchmark/1000-4         	     409	   2966645 ns/op	 1600011 B/op	  100000 allocs/op
Benchmark/1000-4         	     409	   2943603 ns/op	 1600011 B/op	  100000 allocs/op
Benchmark/10000-4        	      38	  30101511 ns/op	16000070 B/op	 1000000 allocs/op
Benchmark/10000-4        	      38	  29632506 ns/op	16000058 B/op	 1000000 allocs/op
Benchmark/10000-4        	      38	  30236641 ns/op	16000053 B/op	 1000000 allocs/op
Benchmark/10000-4        	      38	  30097433 ns/op	16000073 B/op	 1000000 allocs/op
Benchmark/10000-4        	      38	  30817054 ns/op	16000030 B/op	 1000000 allocs/op
Benchmark/10000-4        	      37	  29821184 ns/op	16000062 B/op	 1000000 allocs/op
Benchmark/10000-4        	      34	  29538439 ns/op	16000062 B/op	 1000000 allocs/op
Benchmark/10000-4        	      39	  29865334 ns/op	16000061 B/op	 1000000 allocs/op
Benchmark/10000-4        	      38	  29964638 ns/op	16000053 B/op	 1000000 allocs/op
Benchmark/10000-4        	      36	  29515959 ns/op	16000061 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 353881094 ns/op	160000480 B/op	10000005 allocs/op
Benchmark/100000-4       	       3	 353548446 ns/op	160000416 B/op	10000004 allocs/op
Benchmark/100000-4       	       3	 353391390 ns/op	160000096 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 346329699 ns/op	160000256 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 352777208 ns/op	160000416 B/op	10000004 allocs/op
Benchmark/100000-4       	       3	 354629015 ns/op	160000160 B/op	10000001 allocs/op
Benchmark/100000-4       	       3	 363004703 ns/op	160000256 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 359935879 ns/op	160000352 B/op	10000003 allocs/op
Benchmark/100000-4       	       3	 364830239 ns/op	160000192 B/op	10000002 allocs/op
Benchmark/100000-4       	       3	 367770037 ns/op	160000352 B/op	10000003 allocs/op
