Benchmark/1-4                	  327166	      3534 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  315744	      3543 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  321820	      3546 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  327120	      3543 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  323596	      3547 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  324698	      3519 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  325618	      3538 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  326013	      3557 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  325798	      3560 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  324758	      3564 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   34948	     34584 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34540	     34391 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34928	     34393 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34938	     34549 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34687	     34812 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34483	     34731 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   35096	     34531 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34822	     34489 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34866	     34549 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34779	     34510 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    2488	    468305 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2482	    465896 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2445	    463840 ns/op	  697602 B/op	   10600 allocs/op
Benchmark/100-4              	    2474	    465782 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2488	    471069 ns/op	  697602 B/op	   10600 allocs/op
Benchmark/100-4              	    2484	    463737 ns/op	  697602 B/op	   10600 allocs/op
Benchmark/100-4              	    2492	    463950 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2456	    465513 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2480	    464026 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2478	    465220 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/1000-4             	     285	   4178728 ns/op	 6438431 B/op	  101200 allocs/op
Benchmark/1000-4             	     285	   4229704 ns/op	 6438432 B/op	  101200 allocs/op
Benchmark/1000-4             	     285	   4200089 ns/op	 6438427 B/op	  101200 allocs/op
Benchmark/1000-4             	     285	   4205263 ns/op	 6438430 B/op	  101200 allocs/op
Benchmark/1000-4             	     285	   4391486 ns/op	 6438429 B/op	  101200 allocs/op
Benchmark/1000-4             	     270	   4214950 ns/op	 6438426 B/op	  101200 allocs/op
Benchmark/1000-4             	     286	   4185968 ns/op	 6438433 B/op	  101200 allocs/op
Benchmark/1000-4             	     267	   4282170 ns/op	 6438430 B/op	  101200 allocs/op
Benchmark/1000-4             	     282	   4218538 ns/op	 6438431 B/op	  101200 allocs/op
Benchmark/1000-4             	     286	   4194949 ns/op	 6438431 B/op	  101200 allocs/op
Benchmark/10000-4            	      25	  44771015 ns/op	94566473 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44658358 ns/op	94566496 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44600141 ns/op	94566477 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44354324 ns/op	94566515 B/op	 1002001 allocs/op
Benchmark/10000-4            	      25	  44721328 ns/op	94566469 B/op	 1002000 allocs/op
Benchmark/10000-4            	      24	  44606415 ns/op	94566484 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  45374183 ns/op	94566496 B/op	 1002000 allocs/op
Benchmark/10000-4            	      24	  44512984 ns/op	94566500 B/op	 1002001 allocs/op
Benchmark/10000-4            	      24	  44695939 ns/op	94566500 B/op	 1002001 allocs/op
Benchmark/10000-4            	      24	  44885804 ns/op	94566476 B/op	 1002000 allocs/op
Benchmark/100000-4           	       2	 774215296 ns/op	789071736 B/op	10002630 allocs/op
Benchmark/100000-4           	       2	 774661179 ns/op	789071832 B/op	10002631 allocs/op
Benchmark/100000-4           	       2	 767687294 ns/op	789071448 B/op	10002627 allocs/op
Benchmark/100000-4           	       2	 784538768 ns/op	789070968 B/op	10002622 allocs/op
Benchmark/100000-4           	       2	 766287674 ns/op	789071832 B/op	10002631 allocs/op
Benchmark/100000-4           	       2	 773042736 ns/op	789072072 B/op	10002633 allocs/op
Benchmark/100000-4           	       2	 770771416 ns/op	789072216 B/op	10002635 allocs/op
Benchmark/100000-4           	       2	 760874932 ns/op	789072552 B/op	10002638 allocs/op
Benchmark/100000-4           	       2	 774343800 ns/op	789072024 B/op	10002633 allocs/op
Benchmark/100000-4           	       2	 773864220 ns/op	789072360 B/op	10002636 allocs/op
