Benchmark/1-4                	  322750	      3550 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  324218	      3531 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  313416	      3565 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  323290	      3542 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  319504	      3531 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  324948	      3541 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  327544	      3544 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  329509	      3563 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  327280	      3570 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  316237	      3551 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   35000	     34158 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34444	     34523 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34320	     34609 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34291	     36710 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34664	     34895 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34869	     34376 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   35138	     34384 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   35065	     34379 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   34785	     34415 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   35252	     34213 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    2487	    463210 ns/op	  697602 B/op	   10600 allocs/op
Benchmark/100-4              	    2492	    462236 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2463	    462876 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2464	    462784 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2473	    468337 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2480	    461721 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2482	    463938 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2511	    460442 ns/op	  697603 B/op	   10600 allocs/op
Benchmark/100-4              	    2485	    462671 ns/op	  697602 B/op	   10600 allocs/op
Benchmark/100-4              	    2474	    463124 ns/op	  697602 B/op	   10600 allocs/op
Benchmark/1000-4             	     285	   4201447 ns/op	 6438429 B/op	  101200 allocs/op
Benchmark/1000-4             	     284	   4204274 ns/op	 6438428 B/op	  101200 allocs/op
Benchmark/1000-4             	     278	   4186449 ns/op	 6438428 B/op	  101200 allocs/op
Benchmark/1000-4             	     284	   4212502 ns/op	 6438427 B/op	  101200 allocs/op
Benchmark/1000-4             	     285	   4203541 ns/op	 6438428 B/op	  101200 allocs/op
Benchmark/1000-4             	     286	   4242873 ns/op	 6438426 B/op	  101200 allocs/op
Benchmark/1000-4             	     283	   4213110 ns/op	 6438429 B/op	  101200 allocs/op
Benchmark/1000-4             	     285	   4203999 ns/op	 6438428 B/op	  101200 allocs/op
Benchmark/1000-4             	     286	   4191022 ns/op	 6438431 B/op	  101200 allocs/op
Benchmark/1000-4             	     285	   4191292 ns/op	 6438429 B/op	  101200 allocs/op
Benchmark/10000-4            	      25	  44635514 ns/op	94566515 B/op	 1002001 allocs/op
Benchmark/10000-4            	      25	  44902803 ns/op	94566465 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44863564 ns/op	94566512 B/op	 1002001 allocs/op
Benchmark/10000-4            	      25	  44625255 ns/op	94566465 B/op	 1002000 allocs/op
Benchmark/10000-4            	      24	  44792379 ns/op	94566448 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  45272121 ns/op	94566496 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44453503 ns/op	94566477 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44505463 ns/op	94566496 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44643755 ns/op	94566488 B/op	 1002000 allocs/op
Benchmark/10000-4            	      25	  44506926 ns/op	94566450 B/op	 1002000 allocs/op
Benchmark/100000-4           	       2	 788849274 ns/op	789071496 B/op	10002627 allocs/op
Benchmark/100000-4           	       2	 783898120 ns/op	789071304 B/op	10002625 allocs/op
Benchmark/100000-4           	       2	 768233460 ns/op	789071544 B/op	10002628 allocs/op
Benchmark/100000-4           	       2	 777535472 ns/op	789071976 B/op	10002632 allocs/op
Benchmark/100000-4           	       2	 790265626 ns/op	789071784 B/op	10002630 allocs/op
Benchmark/100000-4           	       2	 776669783 ns/op	789072360 B/op	10002636 allocs/op
Benchmark/100000-4           	       2	 758584426 ns/op	789072696 B/op	10002640 allocs/op
Benchmark/100000-4           	       2	 774314687 ns/op	789072648 B/op	10002639 allocs/op
Benchmark/100000-4           	       2	 774358154 ns/op	789072408 B/op	10002637 allocs/op
Benchmark/100000-4           	       2	 776210618 ns/op	789072072 B/op	10002633 allocs/op
