Benchmark/1-4                	   58837	     19971 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   56374	     19787 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   59452	     19809 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   56296	     19671 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   58725	     19680 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   59343	     19957 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   59347	     19738 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   59214	     19781 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   59114	     19713 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   57621	     19541 ns/op	    4000 B/op	     300 allocs/op
Benchmark/10-4               	   12079	     97290 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12212	     97477 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12139	     97375 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12226	     98763 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12216	     98373 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12096	     97483 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12114	     97272 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12240	     97545 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12181	     97930 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   12037	     98439 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/100-4              	    1348	    869518 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1368	    866245 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1329	    865552 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1370	    872089 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1351	    874185 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1362	    873758 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1351	    869328 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1362	    864475 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1360	    871904 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1364	    868556 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/1000-4             	     128	   8722181 ns/op	 2511209 B/op	  103100 allocs/op
Benchmark/1000-4             	     133	   8939551 ns/op	 2511208 B/op	  103100 allocs/op
Benchmark/1000-4             	     134	   8691781 ns/op	 2511207 B/op	  103100 allocs/op
Benchmark/1000-4             	     135	   8685029 ns/op	 2511209 B/op	  103100 allocs/op
Benchmark/1000-4             	     136	   8682440 ns/op	 2511204 B/op	  103100 allocs/op
Benchmark/1000-4             	     135	   8684451 ns/op	 2511209 B/op	  103100 allocs/op
Benchmark/1000-4             	     135	   8713070 ns/op	 2511207 B/op	  103100 allocs/op
Benchmark/1000-4             	     135	   8742249 ns/op	 2511204 B/op	  103100 allocs/op
Benchmark/1000-4             	     135	   8732383 ns/op	 2511209 B/op	  103100 allocs/op
Benchmark/1000-4             	     136	   8691443 ns/op	 2511207 B/op	  103100 allocs/op
Benchmark/10000-4            	      13	  87925522 ns/op	24984888 B/op	 1019601 allocs/op
Benchmark/10000-4            	      13	  87051036 ns/op	24984859 B/op	 1019600 allocs/op
Benchmark/10000-4            	      13	  90177141 ns/op	24984866 B/op	 1019600 allocs/op
Benchmark/10000-4            	      13	  87122235 ns/op	24984925 B/op	 1019601 allocs/op
Benchmark/10000-4            	      12	  89609171 ns/op	24984936 B/op	 1019601 allocs/op
Benchmark/10000-4            	      13	  87245874 ns/op	24984859 B/op	 1019600 allocs/op
Benchmark/10000-4            	      13	  86754472 ns/op	24984814 B/op	 1019600 allocs/op
Benchmark/10000-4            	      13	  87339305 ns/op	24984903 B/op	 1019601 allocs/op
Benchmark/10000-4            	      13	  89527608 ns/op	24984859 B/op	 1019600 allocs/op
Benchmark/10000-4            	      13	  87177258 ns/op	24984859 B/op	 1019600 allocs/op
Benchmark/100000-4           	       2	 901114938 ns/op	248478512 B/op	10162610 allocs/op
Benchmark/100000-4           	       2	 898940234 ns/op	248477984 B/op	10162605 allocs/op
Benchmark/100000-4           	       2	 898218222 ns/op	248478368 B/op	10162609 allocs/op
Benchmark/100000-4           	       2	 898190402 ns/op	248478416 B/op	10162609 allocs/op
Benchmark/100000-4           	       2	 901745344 ns/op	248478224 B/op	10162607 allocs/op
Benchmark/100000-4           	       2	 893162158 ns/op	248478320 B/op	10162608 allocs/op
Benchmark/100000-4           	       2	 899878336 ns/op	248478560 B/op	10162611 allocs/op
Benchmark/100000-4           	       2	 903350580 ns/op	248478320 B/op	10162608 allocs/op
Benchmark/100000-4           	       2	 895794067 ns/op	248478032 B/op	10162605 allocs/op
Benchmark/100000-4           	       2	 894818776 ns/op	248478416 B/op	10162609 allocs/op
