Benchmark/1-4                	   57121	     21203 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   57879	     20206 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   58566	     20038 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   57979	     20010 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   57646	     19980 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   58501	     20012 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   58376	     20022 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   57607	     20312 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   58461	     20085 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1-4                	   58323	     20200 ns/op	    4000 B/op	     300 allocs/op
Benchmark/10-4               	   10000	    107842 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    110470 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    107117 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    106990 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    107795 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    107053 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    107129 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    107555 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    108326 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/10-4               	   10000	    107436 ns/op	   18400 B/op	    1200 allocs/op
Benchmark/100-4              	    1186	    956354 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1248	    957480 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1212	    959129 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1218	    962257 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1222	    958232 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1234	    957157 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1230	    988051 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1236	    958291 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1240	    962471 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/100-4              	    1231	    957035 ns/op	  162401 B/op	   10200 allocs/op
Benchmark/1000-4             	     120	   9835869 ns/op	 2511204 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9827558 ns/op	 2511212 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9836612 ns/op	 2511208 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9904058 ns/op	 2511202 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9872023 ns/op	 2511207 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9869111 ns/op	 2511208 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9897297 ns/op	 2511206 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9985527 ns/op	 2511205 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9842354 ns/op	 2511205 B/op	  103100 allocs/op
Benchmark/1000-4             	     120	   9902902 ns/op	 2511207 B/op	  103100 allocs/op
Benchmark/10000-4            	      12	 103339036 ns/op	24984912 B/op	 1019601 allocs/op
Benchmark/10000-4            	      12	  98124432 ns/op	24984840 B/op	 1019600 allocs/op
Benchmark/10000-4            	      12	  98299645 ns/op	24984872 B/op	 1019600 allocs/op
Benchmark/10000-4            	      12	  99311556 ns/op	24984856 B/op	 1019600 allocs/op
Benchmark/10000-4            	      12	  98113047 ns/op	24984880 B/op	 1019601 allocs/op
Benchmark/10000-4            	      12	  98259564 ns/op	24984896 B/op	 1019601 allocs/op
Benchmark/10000-4            	      12	  97903739 ns/op	24984872 B/op	 1019600 allocs/op
Benchmark/10000-4            	      12	  98367815 ns/op	24984888 B/op	 1019601 allocs/op
Benchmark/10000-4            	      12	  99188542 ns/op	24984864 B/op	 1019600 allocs/op
Benchmark/10000-4            	      12	  98917815 ns/op	24984848 B/op	 1019600 allocs/op
Benchmark/100000-4           	       1	1030251529 ns/op	248478464 B/op	10162611 allocs/op
Benchmark/100000-4           	       1	1026602696 ns/op	248479136 B/op	10162618 allocs/op
Benchmark/100000-4           	       1	1022474532 ns/op	248478560 B/op	10162612 allocs/op
Benchmark/100000-4           	       1	1015628564 ns/op	248478368 B/op	10162610 allocs/op
Benchmark/100000-4           	       1	1025109242 ns/op	248478464 B/op	10162611 allocs/op
Benchmark/100000-4           	       1	1025660097 ns/op	248478560 B/op	10162612 allocs/op
Benchmark/100000-4           	       1	1019734817 ns/op	248478656 B/op	10162613 allocs/op
Benchmark/100000-4           	       1	1017435998 ns/op	248478752 B/op	10162614 allocs/op
Benchmark/100000-4           	       1	1017899102 ns/op	248478272 B/op	10162609 allocs/op
Benchmark/100000-4           	       1	1019300447 ns/op	248478176 B/op	10162608 allocs/op
