Benchmark/1-4                	  114396	     11189 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  108742	     10332 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  116434	     10175 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  115809	     10221 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  116628	     10226 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  116146	     10229 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  115429	     10210 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  113024	     10205 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  112856	     10155 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1-4                	  115070	     10147 ns/op	    6400 B/op	     300 allocs/op
Benchmark/10-4               	   17329	     69066 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   17158	     69740 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   17335	     68966 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   17292	     68982 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   16993	     69717 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   17301	     69276 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   17214	     68807 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   17214	     69251 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   17232	     69070 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/10-4               	   16792	     69126 ns/op	   68800 B/op	    1600 allocs/op
Benchmark/100-4              	    2828	    409599 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/100-4              	    2835	    411685 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/100-4              	    2785	    407970 ns/op	  420802 B/op	   10800 allocs/op
Benchmark/100-4              	    2851	    408227 ns/op	  420802 B/op	   10800 allocs/op
Benchmark/100-4              	    2836	    409275 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/100-4              	    2848	    408291 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/100-4              	    2788	    408132 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/100-4              	    2816	    427347 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/100-4              	    2808	    413120 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/100-4              	    2821	    430419 ns/op	  420801 B/op	   10800 allocs/op
Benchmark/1000-4             	     322	   3638225 ns/op	 3316814 B/op	  102200 allocs/op
Benchmark/1000-4             	     330	   3747078 ns/op	 3316813 B/op	  102200 allocs/op
Benchmark/1000-4             	     326	   3679635 ns/op	 3316812 B/op	  102200 allocs/op
Benchmark/1000-4             	     330	   3626059 ns/op	 3316815 B/op	  102200 allocs/op
Benchmark/1000-4             	     331	   3621753 ns/op	 3316814 B/op	  102200 allocs/op
Benchmark/1000-4             	     331	   3604103 ns/op	 3316819 B/op	  102200 allocs/op
Benchmark/1000-4             	     331	   3631497 ns/op	 3316816 B/op	  102200 allocs/op
Benchmark/1000-4             	     327	   3627245 ns/op	 3316816 B/op	  102200 allocs/op
Benchmark/1000-4             	     331	   3637406 ns/op	 3316813 B/op	  102200 allocs/op
Benchmark/1000-4             	     330	   3635946 ns/op	 3316814 B/op	  102200 allocs/op
Benchmark/10000-4            	      30	  36837434 ns/op	32276923 B/op	 1016201 allocs/op
Benchmark/10000-4            	      28	  39504444 ns/op	32276928 B/op	 1016201 allocs/op
Benchmark/10000-4            	      30	  36713098 ns/op	32276888 B/op	 1016200 allocs/op
Benchmark/10000-4            	      30	  36697962 ns/op	32276897 B/op	 1016201 allocs/op
Benchmark/10000-4            	      31	  36683638 ns/op	32276913 B/op	 1016201 allocs/op
Benchmark/10000-4            	      30	  36536607 ns/op	32276907 B/op	 1016201 allocs/op
Benchmark/10000-4            	      30	  36672404 ns/op	32276958 B/op	 1016201 allocs/op
Benchmark/10000-4            	      30	  36718661 ns/op	32276894 B/op	 1016201 allocs/op
Benchmark/10000-4            	      30	  39754457 ns/op	32276932 B/op	 1016201 allocs/op
Benchmark/10000-4            	      28	  36672074 ns/op	32276949 B/op	 1016201 allocs/op
Benchmark/100000-4           	       3	 371353887 ns/op	322710064 B/op	10157013 allocs/op
Benchmark/100000-4           	       3	 372076555 ns/op	322710128 B/op	10157014 allocs/op
Benchmark/100000-4           	       3	 370238045 ns/op	322709776 B/op	10157010 allocs/op
Benchmark/100000-4           	       3	 371548040 ns/op	322710064 B/op	10157013 allocs/op
Benchmark/100000-4           	       3	 371191900 ns/op	322710096 B/op	10157013 allocs/op
Benchmark/100000-4           	       3	 371839928 ns/op	322709872 B/op	10157011 allocs/op
Benchmark/100000-4           	       3	 371270870 ns/op	322709744 B/op	10157010 allocs/op
Benchmark/100000-4           	       3	 371190692 ns/op	322710064 B/op	10157013 allocs/op
Benchmark/100000-4           	       3	 372922923 ns/op	322710160 B/op	10157014 allocs/op
Benchmark/100000-4           	       3	 373628878 ns/op	322709744 B/op	10157010 allocs/op
