Benchmark/1-4                	  155826	      7238 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  163255	      7238 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  164317	      7182 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  160539	      7240 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  156998	      7196 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  164850	      7212 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  159144	      7308 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  163557	      7217 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  164786	      7232 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1-4                	  161920	      7289 ns/op	    6400 B/op	     200 allocs/op
Benchmark/10-4               	   17020	     70580 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   17000	     70314 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16952	     70536 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16964	     70669 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16941	     70860 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16892	     74400 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16923	     70482 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16815	     71459 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16995	     70192 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10-4               	   16814	     70650 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/100-4              	    1604	    694685 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4              	    1710	    799392 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4              	    1659	    691987 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4              	    1712	    694079 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4              	    1477	    692487 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4              	    1722	    702895 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4              	    1662	    693442 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/100-4              	    1609	    693517 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4              	    1650	    695532 ns/op	  640001 B/op	   20000 allocs/op
Benchmark/100-4              	    1704	    694164 ns/op	  640002 B/op	   20000 allocs/op
Benchmark/1000-4             	     170	   6865657 ns/op	 6400041 B/op	  200000 allocs/op
Benchmark/1000-4             	     172	   6951986 ns/op	 6400029 B/op	  200000 allocs/op
Benchmark/1000-4             	     171	   7062249 ns/op	 6400034 B/op	  200000 allocs/op
Benchmark/1000-4             	     171	   6933941 ns/op	 6400027 B/op	  200000 allocs/op
Benchmark/1000-4             	     172	   6955817 ns/op	 6400031 B/op	  200000 allocs/op
Benchmark/1000-4             	     169	   6927012 ns/op	 6400029 B/op	  200000 allocs/op
Benchmark/1000-4             	     172	   6881375 ns/op	 6400038 B/op	  200000 allocs/op
Benchmark/1000-4             	     174	   6855097 ns/op	 6400040 B/op	  200000 allocs/op
Benchmark/1000-4             	     174	   6899057 ns/op	 6400036 B/op	  200000 allocs/op
Benchmark/1000-4             	     172	   6903958 ns/op	 6400033 B/op	  200000 allocs/op
Benchmark/10000-4            	      15	  69282833 ns/op	64000432 B/op	 2000004 allocs/op
Benchmark/10000-4            	      16	  70545189 ns/op	64000309 B/op	 2000003 allocs/op
Benchmark/10000-4            	      15	  70282857 ns/op	64000323 B/op	 2000003 allocs/op
Benchmark/10000-4            	      16	  68942798 ns/op	64000255 B/op	 2000002 allocs/op
Benchmark/10000-4            	      16	  70587860 ns/op	64000291 B/op	 2000003 allocs/op
Benchmark/10000-4            	      16	  69143313 ns/op	64000285 B/op	 2000003 allocs/op
Benchmark/10000-4            	      15	  69180142 ns/op	64000272 B/op	 2000002 allocs/op
Benchmark/10000-4            	      16	  69387391 ns/op	64000375 B/op	 2000003 allocs/op
Benchmark/10000-4            	      16	  69414959 ns/op	64000345 B/op	 2000003 allocs/op
Benchmark/10000-4            	      16	  72126532 ns/op	64000273 B/op	 2000002 allocs/op
Benchmark/100000-4           	       1	1493025838 ns/op	640000432 B/op	20000005 allocs/op
Benchmark/100000-4           	       1	1475474142 ns/op	640001296 B/op	20000014 allocs/op
Benchmark/100000-4           	       1	1469485760 ns/op	640000336 B/op	20000004 allocs/op
Benchmark/100000-4           	       1	1425417731 ns/op	640000528 B/op	20000006 allocs/op
Benchmark/100000-4           	       1	1473067075 ns/op	640000528 B/op	20000006 allocs/op
Benchmark/100000-4           	       1	1554650409 ns/op	640000432 B/op	20000005 allocs/op
Benchmark/100000-4           	       1	1427022796 ns/op	640000240 B/op	20000003 allocs/op
Benchmark/100000-4           	       1	1366297181 ns/op	640000432 B/op	20000005 allocs/op
Benchmark/100000-4           	       1	1443049628 ns/op	640000336 B/op	20000004 allocs/op
Benchmark/100000-4           	       1	1472217665 ns/op	640000336 B/op	20000004 allocs/op
