Benchmark/1-4                	  328093	      3559 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  329761	      3938 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  287588	      3927 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  308232	      3499 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  331749	      3533 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  296911	      3520 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  329355	      3534 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  319702	      3520 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  317308	      3517 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  324652	      3591 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   23067	     65889 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   22394	     54472 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   22548	     52646 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   21811	     60610 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23161	     52266 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   22940	     52203 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23059	     51887 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23078	     51855 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   22838	     52127 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23104	     52877 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/100-4              	    2144	    493875 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2437	    503029 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2173	    521498 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2283	    498045 ns/op	  736002 B/op	   10800 allocs/op
Benchmark/100-4              	    2244	    557867 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2240	    574152 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2256	    507169 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2428	    548664 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2221	    520815 ns/op	  736002 B/op	   10800 allocs/op
Benchmark/100-4              	    2209	    525591 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/1000-4             	     256	   4584892 ns/op	 6476822 B/op	  101400 allocs/op
Benchmark/1000-4             	     264	   4312469 ns/op	 6476830 B/op	  101400 allocs/op
Benchmark/1000-4             	     279	   4354895 ns/op	 6476821 B/op	  101400 allocs/op
Benchmark/1000-4             	     267	   5093810 ns/op	 6476830 B/op	  101400 allocs/op
Benchmark/1000-4             	     277	   4336618 ns/op	 6476828 B/op	  101400 allocs/op
Benchmark/1000-4             	     277	   4511926 ns/op	 6476836 B/op	  101400 allocs/op
Benchmark/1000-4             	     267	   4476965 ns/op	 6476833 B/op	  101400 allocs/op
Benchmark/1000-4             	     237	   4420161 ns/op	 6476828 B/op	  101400 allocs/op
Benchmark/1000-4             	     277	   5587139 ns/op	 6476826 B/op	  101400 allocs/op
Benchmark/1000-4             	     266	   4523237 ns/op	 6476826 B/op	  101400 allocs/op
Benchmark/10000-4            	      25	  44943725 ns/op	94604953 B/op	 1002201 allocs/op
Benchmark/10000-4            	      24	  44216024 ns/op	94604856 B/op	 1002200 allocs/op
Benchmark/10000-4            	      25	  44315678 ns/op	94604869 B/op	 1002200 allocs/op
Benchmark/10000-4            	      26	  44801920 ns/op	94604899 B/op	 1002201 allocs/op
Benchmark/10000-4            	      24	  44091760 ns/op	94604844 B/op	 1002200 allocs/op
Benchmark/10000-4            	      24	  44247072 ns/op	94604856 B/op	 1002200 allocs/op
Benchmark/10000-4            	      26	  46560040 ns/op	94604888 B/op	 1002201 allocs/op
Benchmark/10000-4            	      24	  49758639 ns/op	94604864 B/op	 1002200 allocs/op
Benchmark/10000-4            	      25	  77626663 ns/op	94604926 B/op	 1002201 allocs/op
Benchmark/10000-4            	      22	  48534100 ns/op	94604861 B/op	 1002200 allocs/op
Benchmark/100000-4           	       2	 819262892 ns/op	789109312 B/op	10002823 allocs/op
Benchmark/100000-4           	       2	 799312468 ns/op	789109552 B/op	10002825 allocs/op
Benchmark/100000-4           	       2	1048050268 ns/op	789108400 B/op	10002813 allocs/op
Benchmark/100000-4           	       2	 837475492 ns/op	789109888 B/op	10002829 allocs/op
Benchmark/100000-4           	       2	 920897017 ns/op	789109936 B/op	10002829 allocs/op
Benchmark/100000-4           	       2	 872971989 ns/op	789110368 B/op	10002834 allocs/op
Benchmark/100000-4           	       2	 816502874 ns/op	789110464 B/op	10002835 allocs/op
Benchmark/100000-4           	       2	 841525664 ns/op	789109552 B/op	10002825 allocs/op
Benchmark/100000-4           	       2	 808401546 ns/op	789110224 B/op	10002832 allocs/op
Benchmark/100000-4           	       2	 859191984 ns/op	789110032 B/op	10002830 allocs/op
