Benchmark/1-4                	  332998	      3624 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  328261	      3802 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  318457	      3651 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  318636	      3553 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  328998	      3508 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  334074	      3482 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  331456	      3474 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  329578	      3507 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  319772	      3678 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  329655	      3540 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   22880	     52031 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23348	     51464 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23031	     51516 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23404	     51501 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   23104	     51645 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   22214	     80180 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   21870	     57911 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   19738	     55163 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   21723	     67408 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/10-4               	   22154	     63302 ns/op	   54400 B/op	    1200 allocs/op
Benchmark/100-4              	    1998	    503301 ns/op	  736002 B/op	   10800 allocs/op
Benchmark/100-4              	    2358	    501492 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2299	    490168 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2371	    514406 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2331	    538615 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2258	    558244 ns/op	  736002 B/op	   10800 allocs/op
Benchmark/100-4              	    2446	    634519 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2280	    561702 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2331	    528539 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/100-4              	    2299	    490203 ns/op	  736003 B/op	   10800 allocs/op
Benchmark/1000-4             	     277	   4354449 ns/op	 6476832 B/op	  101400 allocs/op
Benchmark/1000-4             	     276	   4279580 ns/op	 6476828 B/op	  101400 allocs/op
Benchmark/1000-4             	     279	   4311344 ns/op	 6476832 B/op	  101400 allocs/op
Benchmark/1000-4             	     277	   4279273 ns/op	 6476832 B/op	  101400 allocs/op
Benchmark/1000-4             	     278	   4304762 ns/op	 6476829 B/op	  101400 allocs/op
Benchmark/1000-4             	     276	   4423240 ns/op	 6476828 B/op	  101400 allocs/op
Benchmark/1000-4             	     274	   4337011 ns/op	 6476828 B/op	  101400 allocs/op
Benchmark/1000-4             	     277	   4250558 ns/op	 6476828 B/op	  101400 allocs/op
Benchmark/1000-4             	     279	   4283304 ns/op	 6476836 B/op	  101400 allocs/op
Benchmark/1000-4             	     279	   4277493 ns/op	 6476827 B/op	  101400 allocs/op
Benchmark/10000-4            	      25	  44706309 ns/op	94604884 B/op	 1002200 allocs/op
Benchmark/10000-4            	      25	  44604750 ns/op	94604865 B/op	 1002200 allocs/op
Benchmark/10000-4            	      24	  44487339 ns/op	94604868 B/op	 1002200 allocs/op
Benchmark/10000-4            	      25	  44339504 ns/op	94604872 B/op	 1002200 allocs/op
Benchmark/10000-4            	      24	  45006002 ns/op	94604860 B/op	 1002200 allocs/op
Benchmark/10000-4            	      25	  44635282 ns/op	94604922 B/op	 1002201 allocs/op
Benchmark/10000-4            	      25	  44346322 ns/op	94604880 B/op	 1002200 allocs/op
Benchmark/10000-4            	      25	  44544401 ns/op	94604896 B/op	 1002201 allocs/op
Benchmark/10000-4            	      24	  44809922 ns/op	94604936 B/op	 1002201 allocs/op
Benchmark/10000-4            	      25	  44677330 ns/op	94604903 B/op	 1002201 allocs/op
Benchmark/100000-4           	       2	 779451866 ns/op	789109936 B/op	10002829 allocs/op
Benchmark/100000-4           	       2	 778775100 ns/op	789109360 B/op	10002823 allocs/op
Benchmark/100000-4           	       2	 773459430 ns/op	789110224 B/op	10002832 allocs/op
Benchmark/100000-4           	       2	 771061911 ns/op	789109696 B/op	10002827 allocs/op
Benchmark/100000-4           	       2	 775644503 ns/op	789110896 B/op	10002839 allocs/op
Benchmark/100000-4           	       2	 780821466 ns/op	789110512 B/op	10002835 allocs/op
Benchmark/100000-4           	       2	 778157190 ns/op	789110416 B/op	10002834 allocs/op
Benchmark/100000-4           	       2	 765639258 ns/op	789110992 B/op	10002840 allocs/op
Benchmark/100000-4           	       2	 776197110 ns/op	789110512 B/op	10002835 allocs/op
Benchmark/100000-4           	       2	 774791157 ns/op	789110272 B/op	10002833 allocs/op
