Benchmark/1-4                	  188515	      6269 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  184886	      6275 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  184711	      6291 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  187110	      6308 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  190473	      6210 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  191347	      6284 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  186373	      6234 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  184687	      6314 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  189741	      6258 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1-4                	  184570	      6211 ns/op	    2400 B/op	     200 allocs/op
Benchmark/10-4               	   21326	     48231 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25150	     47667 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25340	     47463 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25095	     47434 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25192	     47460 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25370	     47553 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25207	     47660 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25334	     47543 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   25352	     47517 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/10-4               	   24548	     47705 ns/op	   32000 B/op	    1200 allocs/op
Benchmark/100-4              	    3235	    343497 ns/op	  313601 B/op	   10100 allocs/op
Benchmark/100-4              	    3418	    342727 ns/op	  313602 B/op	   10100 allocs/op
Benchmark/100-4              	    3415	    339649 ns/op	  313602 B/op	   10100 allocs/op
Benchmark/100-4              	    3246	    341842 ns/op	  313601 B/op	   10100 allocs/op
Benchmark/100-4              	    3396	    340609 ns/op	  313601 B/op	   10100 allocs/op
Benchmark/100-4              	    3211	    342575 ns/op	  313601 B/op	   10100 allocs/op
Benchmark/100-4              	    3388	    340102 ns/op	  313601 B/op	   10100 allocs/op
Benchmark/100-4              	    3420	    342166 ns/op	  313602 B/op	   10100 allocs/op
Benchmark/100-4              	    3108	    341817 ns/op	  313602 B/op	   10100 allocs/op
Benchmark/100-4              	    3379	    346912 ns/op	  313601 B/op	   10100 allocs/op
Benchmark/1000-4             	     362	   3298894 ns/op	 3392030 B/op	  100300 allocs/op
Benchmark/1000-4             	     364	   3310075 ns/op	 3392031 B/op	  100300 allocs/op
Benchmark/1000-4             	     364	   3309684 ns/op	 3392025 B/op	  100300 allocs/op
Benchmark/1000-4             	     364	   3295076 ns/op	 3392028 B/op	  100300 allocs/op
Benchmark/1000-4             	     360	   3302595 ns/op	 3392027 B/op	  100300 allocs/op
Benchmark/1000-4             	     363	   3324452 ns/op	 3392027 B/op	  100300 allocs/op
Benchmark/1000-4             	     366	   3307124 ns/op	 3392027 B/op	  100300 allocs/op
Benchmark/1000-4             	     364	   3304788 ns/op	 3392028 B/op	  100300 allocs/op
Benchmark/1000-4             	     358	   3288260 ns/op	 3392029 B/op	  100300 allocs/op
Benchmark/1000-4             	     364	   3292061 ns/op	 3392025 B/op	  100300 allocs/op
Benchmark/10000-4            	      28	  36800045 ns/op	45728949 B/op	 1000600 allocs/op
Benchmark/10000-4            	      31	  37553137 ns/op	45728875 B/op	 1000601 allocs/op
Benchmark/10000-4            	      31	  36856466 ns/op	45728863 B/op	 1000600 allocs/op
Benchmark/10000-4            	      31	  36866609 ns/op	45728872 B/op	 1000601 allocs/op
Benchmark/10000-4            	      30	  36723357 ns/op	45728892 B/op	 1000600 allocs/op
Benchmark/10000-4            	      28	  37722030 ns/op	45728942 B/op	 1000600 allocs/op
Benchmark/10000-4            	      31	  36619880 ns/op	45728838 B/op	 1000600 allocs/op
Benchmark/10000-4            	      31	  36814972 ns/op	45728848 B/op	 1000600 allocs/op
Benchmark/10000-4            	      31	  36929777 ns/op	45728844 B/op	 1000600 allocs/op
Benchmark/10000-4            	      30	  36990146 ns/op	45728869 B/op	 1000600 allocs/op
Benchmark/100000-4           	       2	 713159262 ns/op	540454968 B/op	10000980 allocs/op
Benchmark/100000-4           	       2	 749511102 ns/op	540453768 B/op	10000967 allocs/op
Benchmark/100000-4           	       2	 704198629 ns/op	540455736 B/op	10000988 allocs/op
Benchmark/100000-4           	       2	 694338773 ns/op	540456312 B/op	10000994 allocs/op
Benchmark/100000-4           	       2	 708108182 ns/op	540456072 B/op	10000991 allocs/op
Benchmark/100000-4           	       2	 699699242 ns/op	540456168 B/op	10000992 allocs/op
Benchmark/100000-4           	       2	 698503134 ns/op	540456216 B/op	10000993 allocs/op
Benchmark/100000-4           	       2	 699377671 ns/op	540456504 B/op	10000996 allocs/op
Benchmark/100000-4           	       2	 698479260 ns/op	540456120 B/op	10000992 allocs/op
Benchmark/100000-4           	       2	 704438070 ns/op	540456024 B/op	10000991 allocs/op
