Benchmark/1-4                	  364728	      3213 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  351450	      3231 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  362197	      3284 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  360417	      3209 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  353038	      3207 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  354946	      3197 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  363298	      3214 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  361741	      3209 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  366933	      3227 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  362580	      3214 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   38589	     31247 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38882	     31242 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38586	     31314 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38491	     31348 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38629	     31267 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38487	     31386 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38122	     31185 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   37714	     31929 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38072	     31341 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   38810	     31067 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3747	    299103 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3861	    299387 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3883	    300528 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3520	    297925 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3862	    298180 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3798	    299921 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3946	    295947 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3739	    300154 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3315	    301692 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/100-4              	    3814	    299021 ns/op	  160001 B/op	   10000 allocs/op
Benchmark/1000-4             	     414	   2910651 ns/op	 1600066 B/op	  100000 allocs/op
Benchmark/1000-4             	     394	   3085237 ns/op	 1600071 B/op	  100000 allocs/op
Benchmark/1000-4             	     415	   3115361 ns/op	 1600067 B/op	  100000 allocs/op
Benchmark/1000-4             	     404	   2950386 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     410	   2922497 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     403	   2914616 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     411	   2890290 ns/op	 1600067 B/op	  100000 allocs/op
Benchmark/1000-4             	     410	   2938571 ns/op	 1600068 B/op	  100000 allocs/op
Benchmark/1000-4             	     416	   2907197 ns/op	 1600066 B/op	  100000 allocs/op
Benchmark/1000-4             	     406	   2931612 ns/op	 1600067 B/op	  100000 allocs/op
Benchmark/10000-4            	      38	  29909304 ns/op	16009500 B/op	 1000001 allocs/op
Benchmark/10000-4            	      34	  30949466 ns/op	16010586 B/op	 1000001 allocs/op
Benchmark/10000-4            	      38	  29712113 ns/op	16009459 B/op	 1000001 allocs/op
Benchmark/10000-4            	      39	  30079519 ns/op	16009254 B/op	 1000001 allocs/op
Benchmark/10000-4            	      36	  29951050 ns/op	16010004 B/op	 1000001 allocs/op
Benchmark/10000-4            	      38	  29603687 ns/op	16009482 B/op	 1000001 allocs/op
Benchmark/10000-4            	      38	  30072217 ns/op	16009487 B/op	 1000001 allocs/op
Benchmark/10000-4            	      38	  29909857 ns/op	16009469 B/op	 1000001 allocs/op
Benchmark/10000-4            	      38	  29848109 ns/op	16009452 B/op	 1000000 allocs/op
Benchmark/10000-4            	      39	  30276120 ns/op	16009246 B/op	 1000001 allocs/op
Benchmark/100000-4           	       3	 365793924 ns/op	161367386 B/op	10000012 allocs/op
Benchmark/100000-4           	       3	 361758089 ns/op	161367354 B/op	10000012 allocs/op
Benchmark/100000-4           	       3	 359537863 ns/op	161367450 B/op	10000013 allocs/op
Benchmark/100000-4           	       3	 359256090 ns/op	161367514 B/op	10000013 allocs/op
Benchmark/100000-4           	       3	 361862510 ns/op	161367450 B/op	10000013 allocs/op
Benchmark/100000-4           	       3	 364351473 ns/op	161367578 B/op	10000014 allocs/op
Benchmark/100000-4           	       3	 367230651 ns/op	161367642 B/op	10000015 allocs/op
Benchmark/100000-4           	       3	 358678426 ns/op	161367514 B/op	10000013 allocs/op
Benchmark/100000-4           	       3	 365065251 ns/op	161367546 B/op	10000014 allocs/op
Benchmark/100000-4           	       3	 360131028 ns/op	161367226 B/op	10000010 allocs/op
