Benchmark/1-4          	32523769	        33.17 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33399517	        33.07 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	35111577	        32.92 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34099131	        32.85 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34549418	        33.10 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34613642	        33.10 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33982995	        33.13 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34908129	        32.99 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32936358	        32.96 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32249133	        32.97 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3593719	       334.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3596064	       333.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3568771	       334.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3583453	       334.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3549568	       334.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3519784	       333.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3537056	       334.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3592575	       332.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3551815	       334.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3597012	       336.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  356866	      3267 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  357711	      3256 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  339050	      3249 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  340252	      3461 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  348600	      3288 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  355123	      3279 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  364069	      3248 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  345259	      3293 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  356486	      3245 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  338935	      3250 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   36801	     32529 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36759	     32469 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36682	     32458 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37033	     32571 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36752	     32747 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36387	     32641 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37026	     32394 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36906	     32621 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36873	     32375 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37033	     32515 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3444	    325009 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3678	    326564 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3564	    324104 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3452	    326435 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3628	    327883 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3486	    323739 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3573	    325486 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3615	    324077 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3640	    324615 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3469	    324826 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     363	   3256490 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     367	   3239697 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     364	   3262227 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     369	   3254086 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     369	   3239857 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/100000-4     	     364	   3236412 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     368	   3278789 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     366	   3257061 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     368	   3245742 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     368	   3250929 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      33	  32459315 ns/op	16000017 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      37	  32461653 ns/op	16000007 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      36	  32462896 ns/op	16000021 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      36	  32596566 ns/op	16000010 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  32528118 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      36	  32490346 ns/op	16000013 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      36	  32556623 ns/op	16000013 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      37	  32532756 ns/op	16000010 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      34	  35325577 ns/op	16000008 B/op	 1000000 allocs/op
