Benchmark/1-4          	32011461	        33.18 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34888474	        33.12 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	35204115	        33.07 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34963702	        33.30 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34846585	        33.19 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32300961	        33.04 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	35026419	        33.28 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	35084931	        33.14 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34892536	        33.08 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	34923020	        33.11 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3542959	       339.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3566632	       334.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3603073	       333.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3575955	       334.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3558393	       336.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3567373	       335.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3578604	       333.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3542803	       334.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3559186	       335.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3540734	       334.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  328274	      3269 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  361952	      3274 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  350066	      3279 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  363658	      3283 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  335515	      3285 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  357399	      3264 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  332241	      3259 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  357855	      3257 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  360333	      3258 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  346650	      3262 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   36960	     32705 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36844	     32606 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36944	     32795 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   37207	     32861 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36771	     32509 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36892	     32530 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36494	     32423 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36739	     32578 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36168	     32556 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   36608	     32457 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3429	    324942 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3421	    326412 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3648	    327438 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3220	    323740 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3561	    327366 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3651	    325195 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3536	    329162 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3274	    389289 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3649	    328629 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3470	    335388 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     355	   3306033 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     360	   3318461 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/100000-4     	     366	   3286063 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4     	     350	   3304205 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     363	   3295678 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     362	   4002494 ns/op	 1600002 B/op	  100000 allocs/op
Benchmark/100000-4     	     366	   3460114 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/100000-4     	     322	   3572965 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/100000-4     	     352	   3300426 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/100000-4     	     364	   3500091 ns/op	 1600001 B/op	  100000 allocs/op
Benchmark/1000000-4    	      33	  33867340 ns/op	16000011 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      33	  33579147 ns/op	16000008 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      34	  43632341 ns/op	16000008 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      24	  55293498 ns/op	16000012 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      34	  33188023 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      34	  33471503 ns/op	16000005 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      36	  33101530 ns/op	16000008 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      36	  33041017 ns/op	16000013 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      33	  33686943 ns/op	16000005 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      31	  33221367 ns/op	16000006 B/op	 1000000 allocs/op
