Benchmark/1-4          	28634598	        35.88 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32440988	        36.34 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32112644	        36.43 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31842442	        36.16 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32075202	        36.66 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32344048	        36.01 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31813138	        36.16 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32337183	        37.10 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31538182	        36.14 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32412040	        36.27 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3250570	       368.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3255106	       365.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3292064	       369.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3306727	       366.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3281824	       369.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3268140	       370.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3302892	       364.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3325099	       366.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3241093	       368.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 2715901	       369.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  325035	      3642 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  311724	      3800 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  285338	      3847 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  323556	      3575 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  325917	      3541 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  330766	      3575 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  331586	      3617 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  303434	      3635 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  310380	      3627 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  325986	      3592 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   33907	     35679 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33666	     35260 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33955	     35511 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33230	     35955 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   34249	     35437 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33952	     35244 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33873	     35516 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33914	     35751 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   34144	     35318 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33325	     35935 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3228	    354910 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3254	    351983 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3303	    365724 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3060	    358679 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3237	    357456 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3278	    360580 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3165	    369427 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3228	    371880 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3160	    369901 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    2932	    378667 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     314	   3811202 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4     	     315	   3632534 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4     	     334	   3584025 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4     	     333	   3578071 ns/op	 1600003 B/op	  100000 allocs/op
Benchmark/100000-4     	     338	   3561051 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4     	     333	   3594323 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/100000-4     	     338	   3595442 ns/op	 1600007 B/op	  100000 allocs/op
Benchmark/100000-4     	     337	   3553394 ns/op	 1600004 B/op	  100000 allocs/op
Benchmark/100000-4     	     332	   3574901 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4     	     337	   3566879 ns/op	 1600005 B/op	  100000 allocs/op
Benchmark/1000000-4    	      32	  35969792 ns/op	16000036 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      31	  35831920 ns/op	16000055 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  35651920 ns/op	16000063 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  35734663 ns/op	16000054 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  35958112 ns/op	16000045 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      31	  35923453 ns/op	16000052 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      27	  38577461 ns/op	16000074 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  35976482 ns/op	16000070 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  35941014 ns/op	16000081 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      32	  35477512 ns/op	16000069 B/op	 1000000 allocs/op
