Benchmark/1-4          	30000000	        39.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        40.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        41.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        39.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        39.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        39.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        38.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        39.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       350 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       399 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       361 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       371 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       418 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       370 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       393 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       419 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       427 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       403 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3435 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3798 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3878 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3812 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3895 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3511 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3681 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3712 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3420 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3963 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     34328 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36746 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36006 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35173 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37308 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     33989 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     38252 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   30000	     35205 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35345 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     38514 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    370554 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    387303 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    368445 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    356031 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    398075 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    343811 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    411928 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    365708 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    352178 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    398508 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     300	   3632288 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3474214 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3938462 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3382905 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3807151 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3429884 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3589336 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3831775 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3750639 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   3914498 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      30	  36950662 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34648823 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  38875400 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  37377847 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34188463 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  39572445 ns/op	16000003 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  39087683 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  33726595 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  36589310 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  39382024 ns/op	16000000 B/op	 1000000 allocs/op
