Benchmark/1-4          	29263726	        36.34 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30900962	        36.69 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31802601	        36.40 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32083798	        36.11 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31825107	        36.63 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31478336	        36.94 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31967824	        36.68 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31888206	        36.36 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32105667	        36.41 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31828240	        37.16 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3264870	       369.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3202670	       370.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3211665	       367.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3288856	       370.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3159315	       385.9 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3243682	       376.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3215188	       370.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3207805	       370.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3261410	       368.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3283761	       369.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  302370	      3640 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  323434	      3584 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  318500	      3585 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  319120	      3605 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  322765	      3577 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  337436	      3623 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  306210	      3622 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  313887	      3538 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  315832	      3590 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  325072	      3611 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   33666	     35715 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   32998	     35828 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   31936	     38568 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33746	     35593 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33252	     36178 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33415	     36075 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33297	     36321 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33216	     36186 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33560	     35919 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   33344	     35914 ns/op	   16000 B/op	    1000 allocs/op
