Benchmark/1-4          	30000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.4 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        39.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        36.7 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        39.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        38.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30000000	        39.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        38.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       400 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       365 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       385 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       419 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       419 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       376 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       365 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       414 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3000000	       357 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3562 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3938 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3477 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3692 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3820 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3459 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3844 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  300000	      4050 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3841 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3966 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   30000	     38030 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36628 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     39000 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35077 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     39026 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34683 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     38286 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     35408 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     37196 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     36589 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    5000	    348076 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    387412 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    361555 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    362504 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    391925 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    387733 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3000	    392230 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    390838 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    353605 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    5000	    392520 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     300	   3765041 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3552841 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   4073827 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3465085 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   4042590 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   3654289 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3534728 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     300	   3943448 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3485830 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4     	     500	   3708469 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4    	      50	  37318907 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34698341 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  39375363 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  39038924 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  37542603 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  40122981 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  40003355 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  34546011 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      50	  38180766 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4    	      30	  40535593 ns/op	16000000 B/op	 1000000 allocs/op
