Benchmark/1-4          	34870040	        34.66 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33534572	        34.38 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	30818956	        34.46 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33624027	        34.09 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33655862	        34.43 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33148611	        34.26 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33384990	        34.38 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32456638	        34.31 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33660109	        34.28 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32509760	        34.32 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3466106	       347.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3478844	       346.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3480312	       346.4 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3453946	       346.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3443334	       348.8 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3450730	       346.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3458497	       347.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3474756	       348.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3446944	       348.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3475100	       372.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  335877	      3419 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  340201	      3408 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  337586	      3425 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  334332	      3396 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  341052	      3378 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  339998	      3392 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  343201	      3392 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  340921	      3380 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  335018	      3388 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  342433	      3407 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   35398	     34023 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35556	     34075 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35570	     34017 ns/op	   16000 B/op	    1000 allocs/op
