Benchmark/1-4          	34766265	        33.93 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33626286	        34.16 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33970524	        34.37 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33636908	        34.23 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31878637	        34.02 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33384066	        34.00 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	32587654	        34.24 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33792062	        34.15 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	33120488	        34.16 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	31994284	        38.58 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 3467738	       346.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3510594	       344.6 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3474135	       346.1 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3501464	       344.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3496959	       346.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3488097	       345.0 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3474140	       346.3 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3495148	       347.2 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3472882	       344.7 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 3315130	       347.5 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  342498	      3378 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  345570	      3389 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  346438	      3363 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  343916	      3346 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  341338	      3387 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  344211	      3405 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  342278	      3376 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  343867	      3366 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  343138	      3418 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  339914	      3361 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   35269	     33616 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35316	     33753 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35965	     33516 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35376	     33614 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35620	     33676 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   34801	     33669 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35421	     33492 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35829	     33604 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35900	     33844 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   35218	     33644 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4      	    3422	    336961 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3390	    342303 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3440	    336566 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3418	    337296 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3450	    338437 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3465	    337455 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3428	    337321 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3404	    337836 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3408	    337517 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4      	    3412	    338941 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4     	     356	   3384538 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4     	     349	   3390697 ns/op	 1600006 B/op	  100000 allocs/op
Benchmark/100000-4     	     358	   3607291 ns/op	 1600004 B/op	  100000 allocs/op
