Benchmark/1-4          	 6183804	       207.1 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5898945	       204.0 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5867710	       205.7 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5867719	       204.3 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5817584	       205.3 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5853940	       204.1 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5745381	       203.7 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5862327	       203.6 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5769304	       205.6 ns/op	      40 B/op	       3 allocs/op
Benchmark/1-4          	 5862195	       203.9 ns/op	      40 B/op	       3 allocs/op
Benchmark/10-4         	  555852	      2061 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  523623	      2056 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  559256	      2044 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  552901	      2051 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  553130	      2045 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  547470	      2061 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  556977	      2049 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  523579	      2051 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  562213	      2046 ns/op	     400 B/op	      30 allocs/op
Benchmark/10-4         	  568630	      2061 ns/op	     400 B/op	      30 allocs/op
Benchmark/100-4        	   57327	     20445 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   58834	     20331 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   58119	     20349 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   58512	     20348 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   58950	     20480 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   58659	     20438 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   57888	     20631 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   58792	     20405 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   58773	     20588 ns/op	    4000 B/op	     300 allocs/op
Benchmark/100-4        	   57543	     20377 ns/op	    4000 B/op	     300 allocs/op
Benchmark/1000-4       	    5689	    203248 ns/op	   40000 B/op	    3000 allocs/op
