Benchmark/1-4          	16305120	       102.1 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11429636	       102.3 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11698467	       103.1 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11674966	       101.4 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11670134	       102.1 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11707432	       102.2 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11242071	       101.9 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11629912	       102.1 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11541708	       101.7 ns/op	      64 B/op	       3 allocs/op
Benchmark/1-4          	11624230	       103.3 ns/op	      64 B/op	       3 allocs/op
Benchmark/10-4         	 1000000	      1029 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1027 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1031 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1025 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1027 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1031 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1032 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1029 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1024 ns/op	     640 B/op	      30 allocs/op
Benchmark/10-4         	 1000000	      1029 ns/op	     640 B/op	      30 allocs/op
Benchmark/100-4        	  117578	     10171 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  116319	     10195 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  116284	     10709 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  112473	     10197 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  116031	     10131 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  117895	     10167 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  118698	     10152 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  117421	     10163 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  114130	     10106 ns/op	    6400 B/op	     300 allocs/op
Benchmark/100-4        	  115555	     10095 ns/op	    6400 B/op	     300 allocs/op
Benchmark/1000-4       	   10000	    101639 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    101901 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    101316 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    100999 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   11786	    101903 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    101394 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    102104 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    102013 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    102185 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/1000-4       	   10000	    101416 ns/op	   64000 B/op	    3000 allocs/op
Benchmark/10000-4      	    1156	   1011851 ns/op	  640001 B/op	   30000 allocs/op
Benchmark/10000-4      	    1168	   1013572 ns/op	  640002 B/op	   30000 allocs/op
Benchmark/10000-4      	    1162	   1018763 ns/op	  640002 B/op	   30000 allocs/op
Benchmark/10000-4      	    1178	   1010475 ns/op	  640002 B/op	   30000 allocs/op
Benchmark/10000-4      	    1174	   1015386 ns/op	  640002 B/op	   30000 allocs/op
Benchmark/10000-4      	    1176	   1015435 ns/op	  640003 B/op	   30000 allocs/op
Benchmark/10000-4      	    1172	   1013777 ns/op	  640002 B/op	   30000 allocs/op
Benchmark/10000-4      	    1168	   1012661 ns/op	  640002 B/op	   30000 allocs/op
Benchmark/10000-4      	    1183	   1014102 ns/op	  640001 B/op	   30000 allocs/op
Benchmark/10000-4      	    1174	   1020731 ns/op	  640002 B/op	   30000 allocs/op
Benchmark/100000-4     	     100	  10111241 ns/op	 6400030 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10203455 ns/op	 6400022 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10193236 ns/op	 6400027 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10250864 ns/op	 6400024 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10138675 ns/op	 6400027 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10219724 ns/op	 6400026 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10156511 ns/op	 6400020 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10161311 ns/op	 6400033 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10125905 ns/op	 6400028 B/op	  300000 allocs/op
Benchmark/100000-4     	     100	  10261249 ns/op	 6400024 B/op	  300000 allocs/op
Benchmark/1000000-4    	      10	 102042982 ns/op	64000240 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 102297562 ns/op	64000240 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 101456907 ns/op	64000230 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 101338562 ns/op	64000249 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 101369405 ns/op	64000288 B/op	 3000003 allocs/op
Benchmark/1000000-4    	      10	 101171637 ns/op	64000259 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 100896454 ns/op	64000192 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 101221055 ns/op	64000259 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 102220282 ns/op	64000201 B/op	 3000002 allocs/op
Benchmark/1000000-4    	      10	 101253510 ns/op	64000326 B/op	 3000003 allocs/op
